FormEndorsementID,FormCode,FormNumber,FormTitle,FormType,EditionDate,JurisdictionState,EffectiveFrom,EffectiveTo,ActiveFlag,FID_InsurancePlan
FE118,HOME-CONDO-LIAB-STD-NTC,PC-HOME-CONDO-LIAB-STD-NTC-0120,Condo Personal Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL059
FE119,HOME-CONDO-LIAB-ENH-CF,PC-HOME-CONDO-LIAB-ENH-CF-0120,Condo Personal Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL060
FE120,HOME-CONDO-LIAB-ENH-END,PC-HOME-CONDO-LIAB-ENH-END-0120,Condo Personal Liability Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL060
FE121,HOME-RENT-PROP-STD-CF,PC-HOME-RENT-PROP-STD-CF-0120,Renters Personal Property Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL061
FE122,HOME-RENT-PROP-STD-NTC,PC-HOME-RENT-PROP-STD-NTC-0120,Renters Personal Property Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL061
FE123,HOME-RENT-PROP-ENH-CF,PC-HOME-RENT-PROP-ENH-CF-0120,Renters Personal Property Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL062
FE124,HOME-RENT-PROP-ENH-END,PC-HOME-RENT-PROP-ENH-END-0120,Renters Personal Property Enhanced Benefits Endorsement,ENDORSEMENT,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL062
FE125,HOME-RENT-LIAB-STD-CF,PC-HOME-RENT-LIAB-STD-CF-0120,Renters Liability Standard Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL063
FE126,HOME-RENT-LIAB-STD-NTC,PC-HOME-RENT-LIAB-STD-NTC-0120,Renters Liability Standard Policyholder Notice,NOTICE,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL063
FE127,HOME-RENT-LIAB-ENH-CF,PC-HOME-RENT-LIAB-ENH-CF-0120,Renters Liability Enhanced Coverage Form,COVERAGE_FORM,"Jan 01, 2020",CA,"Jan 01, 2020",,TRUE,PL064
FE128,HOME-RENT-LIAB-ENH-SCH,PC-HOME-RENT-LIAB-ENH-SCH-0120,Renters Liability Enhanced Schedule Attachment,OTHER,"Jan 01, 2020",FL,"Jan 01, 2020",,TRUE,PL064
