RegulatoryTestID,RegulatoryTestCode,Jurisdiction,TestName,TestDescription,Severity,EffectiveFrom,EffectiveTo,FID_InsurancePlan
RT117,HOME-CONDO-LIAB-STD-STATE-DISC,CA,Condo Personal Liability Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL059
RT118,HOME-CONDO-LIAB-STD-LIMIT,FL,Condo Personal Liability Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",ERROR,"Jan 01, 2020",,PL059
RT119,HOME-CONDO-LIAB-ENH-STATE-DISC,CA,Condo Personal Liability Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL060
RT120,HOME-CONDO-LIAB-ENH-LIMIT,FL,Condo Personal Liability Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",ERROR,"Jan 01, 2020",,PL060
RT121,HOME-RENT-PROP-STD-STATE-DISC,CA,Renters Personal Property Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL061
RT122,HOME-RENT-PROP-STD-LIMIT,FL,Renters Personal Property Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL061
RT123,HOME-RENT-PROP-ENH-STATE-DISC,CA,Renters Personal Property Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL062
RT124,HOME-RENT-PROP-ENH-LIMIT,FL,Renters Personal Property Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",BLOCKING,"Jan 01, 2020",,PL062
RT125,HOME-RENT-LIAB-STD-STATE-DISC,CA,Renters Liability Standard Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL063
RT126,HOME-RENT-LIAB-STD-LIMIT,FL,Renters Liability Standard Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",ERROR,"Jan 01, 2020",,PL063
RT127,HOME-RENT-LIAB-ENH-STATE-DISC,CA,Renters Liability Enhanced Homeowners State Disclosure Test,"Checks that homeowners state notices, consumer disclosures, and coverage limitation statements are attached.",WARNING,"Jan 01, 2020",,PL064
RT128,HOME-RENT-LIAB-ENH-LIMIT,FL,Renters Liability Enhanced Coverage Limit Compliance Test,"Validates that dwelling, property, liability, and special-limit settings comply with jurisdictional requirements.",ERROR,"Jan 01, 2020",,PL064
