id,description,raw_icd9_code,is_industry_std,fdn_parenticd9
570-579,OTHER DISEASES OF DIGESTIVE SYSTEM,570-579,,520-579
572,Liver abscess and sequelae of chronic liver disease,572,,570-579
572.8,Other sequelae of chronic liver disease,572.8,,572
575,Other disorders of gallbladder,575,,570-579
575.2,Obstruction of gallbladder,575.2,,575
576,Other disorders of biliary tract,576,,570-579
576.8,Other specified disorders of biliary tract,576.8,,576
580-589,"NEPHRITIS, NEPHROTIC SYNDROME, AND NEPHROSIS",580-589,,580-629
580-629,DISEASES OF THE GENITOURINARY SYSTEM,580-629,,
581,Nephrotic syndrome,581,,580-589
581.9,Nephrotic syndrome with unspecified pathological lesion in kidney,581.9,,581
582,Chronic glomerulonephritis,582,,580-589
582.9,Chronic glomerulonephritis with unspecified pathological lesion in kidney,582.9,,582
584,Acute renal failure,584,,580-589
584.5,With lesion of tubular necrosis,584.5,,584
590-599,OTHER DISEASES OF URINARY SYSTEM,590-599,,580-629
593,Other disorders of kidney and ureter,593,,590-599
593.1,Hypertrophy of kidney,593.1,,593
593.8,Other specified disorders of kidney and ureter,593.8,,593
593.82,Ureteral fistula,593.82,,593.8
596,Other disorders of bladder,596,,590-599
596.5,Other functional disorders of bladder,596.5,,596
596.55,Detrusor sphincter dyssynergia,596.55,,596.5
596.8,Other specified disorders of bladder,596.8,,596
598,Urethral stricture,598,,590-599
598.9,"Urethral stricture, unspecified",598.9,,598
599,Other disorders of urethra and urinary tract,599,,590-599
599.8,Other specified disorders of urethra and urinary tract,599.8,,599
599.84,Other specified disorders of urethra,599.84,,599.8
6,Amebiasis,6,,001-009
6.2,Amebic nondysenteric colitis,6.2,,6
6.5,Amebic brain abscess,6.5,,6
600-608,DISEASES OF MALE GENITAL ORGANS,600-608,,580-629
601,Inflammatory diseases of prostate,601,,600-608
601.2,Abscess of prostate,601.2,,601
601.3,Prostatocystitis,601.3,,601
61,Dengue,61,,NO_CODE
610,Benign mammary dysplasias,610,,610-612
610-612,DISORDERS OF BREAST,610-612,,580-629
610.9,"Benign mammary dysplasia, unspecified",610.9,,610
611,Other disorders of breast,611,,610-612
611.3,Fat necrosis of breast,611.3,,611
611.7,Signs and symptoms in breast,611.7,,611
611.72,Lump or mass in breast,611.72,,611.7
617,Endometriosis,617,,617-629
617-629,OTHER DISORDERS OF FEMALE GENITAL TRACT,617-629,,580-629
617.8,Endometriosis of other specified sites,617.8,,617
618,Genital prolapse,618,,617-629
618.3,"Uterovaginal prolapse, complete",618.3,,618
622,Noninflammatory disorders of cervix,622,,617-629
622.8,Other specified noninflammatory disorders of cervix,622.8,,622
623,Noninflammatory disorders of vagina,623,,617-629
623.3,Tight hymenal ring,623.3,,623
623.4,Old vaginal laceration,623.4,,623
623.7,Polyp of vagina,623.7,,623
624,Noninflammatory disorders of vulva and perineum,624,,617-629
624.2,Hypertrophy of clitoris,624.2,,624
624.3,Hypertrophy of labia,624.3,,624
625,Pain and other symptoms associated with female genital organs,625,,617-629
625.9,Unspecified symptom associated with female genital organs,625.9,,625
626,Disorders of menstruation and other abnormal bleeding from female genital tract,626,,617-629
626.9,Unspecified,626.9,,626
63,Tick-borne viral encephalitis,63,,NO_CODE
63.2,Central European encephalitis,63.2,,63
630-633,ECTOPIC AND MOLAR PREGNANCY,630-633,,630-679
630-679,"COMPLICATIONS OF PREGNANCY, CHILDBIRTH, AND THE PUERPERIUM",630-679,,
633,Ectopic pregnancy,633,,630-633
633.8,Other ectopic pregnancy,633.8,,633
634-639,OTHER PREGNANCY WITH ABORTIVE OUTCOME,634-639,,630-679
638,Failed attempted abortion,638,,634-639
638.2,Complicated by damage to pelvic organs or tissues,638.2,,638
680-686,INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE,680-686,,680-709
680-709,DISEASES OF THE SKIN AND SUBCUTANEOUS TISSUE,680-709,,
686,Other local infections of skin and subcutaneous tissue,686,,680-686
686.9,Unspecified local infection of skin and subcutaneous tissue,686.9,,686
690-698,OTHER INFLAMMATORY CONDITIONS OF SKIN AND SUBCUTANEOUS TISSUE,690-698,,680-709
696,Psoriasis and similar disorders,696,,690-698
696.8,Other,696.8,,696
697,Lichen,697,,690-698
697.1,Lichen nitidus,697.1,,697
70,Viral hepatitis,70,,070-079
70.4,Other specified viral hepatitis with hepatic coma,70.4,,70
70.43,Hepatitis E with hepatic coma,70.43,,70.4
700-709,OTHER DISEASES OF SKIN AND SUBCUTANEOUS TISSUE,700-709,,680-709
704,Diseases of hair and hair follicles,704,,700-709
704.01,Alopecia areata,704.01,,704
704.2,Abnormalities of the hair,704.2,,704
704.9,Unspecified disease of hair and hair follicles,704.9,,704
705,Disorders of sweat glands,705,,700-709
705.8,Other specified disorders of sweat glands,705.8,,705
705.82,Fox-Fordyce disease,705.82,,705.8
707,Chronic ulcer of skin,707,,700-709
707.9,Chronic ulcer of unspecified site,707.9,,707
708,Urticaria,708,,700-709
708.1,Idiopathic urticaria,708.1,,708
709,Other disorders of skin and subcutaneous tissue,709,,700-709
709.2,Scar conditions and fibrosis of skin,709.2,,709
709.4,Foreign body granuloma of skin and subcutaneous tissue,709.4,,709
710,Diffuse diseases of connective tissue,710,,710-719
710-719,ARTHROPATHIES AND RELATED DISORDERS,710-719,,710-739
710-739,DISEASES OF THE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE,710-739,,
710.9,Unspecified diffuse connective tissue disease,710.9,,710
717,Internal derangement of knee,717,,710-719
717.4,Derangement of lateral meniscus,717.4,,717
717.43,Derangement of posterior horn of lateral meniscus,717.43,,717.4
72,Mumps,72,,070-079
72.3,Mumps pancreatitis,72.3,,72
72.9,Mumps without mention of complication,72.9,,72
720,Ankylosing spondylitis and other inflammatory spondylopathies,720,,720-724
720-724,DORSOPATHIES,720-724,,710-739
720.1,Spinal enthesopathy,720.1,,720
721,Spondylosis and allied disorders,721,,720-724
721.4,Thoracic or lumbar spondylosis with myelopathy,721.4,,721
721.41,Thoracic region,721.41,,721.4
722,Intervertebral disc disorders,722,,720-724
722.6,"Degeneration of intervertebral disc, site unspecified",722.6,,722
724,Other and unspecified disorders of back,724,,720-724
724.3,Sciatia,724.3,,724
725,Polymyalgia rheumatica,725,,725-729
725-729,"RHEUMATISM, EXCLUDING THE BACK",725-729,,710-739
726,Peripheral enthesopathies and allied syndromes,726,,725-729
726.3,Enthesopathy of elbow region,726.3,,726
726.31,Medial epicondylitis,726.31,,726.3
73,Ornithosis,73,,070-079
73.8,With unspecified complication,73.8,,73
730-739,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",730-739,,710-739
732,Osteochondropathies,732,,730-739
732.1,Juvenile osteochondrosis of hip and pelvis,732.1,,732
732.3,Juvenile osteochondrosis of upper extremity,732.3,,732
733,Other disorders of bone and cartilage,733,,730-739
733.1,Pathologic fracture,733.1,,733
733.12,Pathologic fracture of distal radius and ulna,733.12,,733.1
733.4,Aseptic necrosis of bone,733.4,,733
733.44,Talus,733.44,,733.4
733.5,Osteitis condensans,733.5,,733
733.9,Other and unspecified disorders of bone and cartilage,733.9,,733
733.92,Chondromalacia,733.92,,733.9
734,Flat foot,734,,730-739
735,Acquired deformities of toe,735,,730-739
735.1,Hallux varus (acquired),735.1,,735
735.4,Other hammer toe (acquired),735.4,,735
738,Other acquired deformity,738,,730-739
738.6,Acquired deformity of pelvis,738.6,,738
739,"Nonallopathic lesions, not elsewhere classified",739,,730-739
739.3,Lumbar region,739.3,,739
760,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,760,,760-763
760-763,MATERNAL CAUSES OF PERINATAL MORBIDITY AND MORTALITY,760-763,,760-779
760-779,CERTAIN CONDITIONS ORIGINATING IN THE PERINATAL PERIOD,760-779,,
760.5,Maternal injury,760.5,,760
760.6,Surgical operation on mother and fetus,760.6,,760
761,Fetus or newborn affected by maternal complications of pregnancy,761,,760-763
761.1,Premature rupture of membranes,761.1,,761
761.3,Polyhydramnios,761.3,,761
764-779,OTHER CONDITIONS ORIGINATING IN THE PERINATAL PERIOD,764-779,,760-779
766,Disorders relating to long gestation and high birthweight,766,,764-779
766.2,"Late infant, not \heavy-for-dates\""""",766.2,,766
767,Birth trauma,767,,764-779
767.2,Fracture of clavicle,767.2,,767
770,Other respiratory conditions of fetus and newborn,770,,764-779
770.2,Interstitial emphysema and related conditions,770.2,,770
770.4,Primary atelectasis,770.4,,770
771,Infections specific to the perinatal period,771,,764-779
771.8,Other infections specific to the perinatal period,771.8,,771
772,Fetal and neonatal hemorrhage,772,,764-779
772.1,Intraventricular hemorrhage,772.1,,772
776,Hematological disorders of newborn,776,,764-779
776.1,Transient neonatal thrombocytopenia,776.1,,776
776.4,Polycythemia neonatorum,776.4,,776
780-789,SYMPTOMS,780-789,,NO_CODE
781,Symptoms involving nervous and musculoskeletal systems,781,,780-789
781.6,Meningismus,781.6,,781
782,Symptoms involving skin and other integumentary tissue,782,,780-789
782.1,Rash and other nonspecific skin eruption,782.1,,782
784,Symptoms involving head and neck,784,,780-789
784.5,Other speech disturbance,784.5,,784
786,Symptoms involving respiratory system and other chest symptoms,786,,780-789
786.1,Stridor,786.1,,786
786.3,Hemoptysis,786.3,,786
787,Symptoms involving digestive system,787,,780-789
787.1,Heartburn,787.1,,787
788,Symptoms involving urinary system,788,,780-789
788.3,Urinary incontinence,788.3,,788
788.37,Continuous leakage,788.37,,788.3
788.7,Urethral discharge,788.7,,788
789,Other symptoms involving abdomen and pelvis,789,,780-789
789.2,Splenomegaly,789.2,,789
79,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,79,,070-079
79.4,Human papillomavirus,79.4,,79
790,Nonspecific findings on examination of blood,790,,790-796
790-796,NONSPECIFIC ABNORMAL FINDINGS,790-796,,NO_CODE
790.3,Excessive blood level of alcohol,790.3,,790
790.9,Other nonspecific findings on examination of blood,790.9,,790
790.92,Abnormal coagulation profile,790.92,,790.9
793,Nonspecific abnormal findings on radiological and other examination of body structure,793,,790-796
793.1,Lung field,793.1,,793
793.4,Gastrointestinal tract,793.4,,793
794,Nonspecific abnormal results of function studies,794,,790-796
794.1,Peripheral nervous system and special senses,794.1,,794
794.19,Other,794.19,,794.1
794.9,Other,794.9,,794
799,Other ill-defined and unknown causes of morbidity and mortality,799,,NO_CODE
799.3,"Debility, unspecified",799.3,,799
8,Intestinal infections due to other organisms,8,,001-009
8.4,Other specified bacteria,8.4,,8
8.47,Other gram-negative bacteria,8.47,,8.4
8.6,Enteritis due to specified virus,8.6,,8
8.63,Norwalk virus,8.63,,8.6
800-829,FRACTURES,800-829,,800-999
800-999,INJURY AND POISONING,800-999,,
802,Fracture of face bones,802,,800-829
802.2,"Mandible, closed",802.2,,802
802.25,Angle of jaw,802.25,,802.2
805,Fracture of vertebral column without mention of spinal cord injury,805,,800-829
805.3,"Dorsal [thoracic], open",805.3,,805
806,Fracture of vertebral column with spinal cord injury,806,,800-829
806.1,"Cervical, open",806.1,,806
806.12,C 1 -C 4 level with anterior cord syndrome,806.12,,806.1
806.14,C 1 -C 4 level with other specified spinal cord injury,806.14,,806.1
806.16,C 5 -C 7 level with complete lesion of cord,806.16,,806.1
806.7,"Sacrum and coccyx, open",806.7,,806
806.71,With complete cauda equina lesion,806.71,,806.7
808,Fracture of pelvis,808,,800-829
808.4,"Other specified part, closed",808.4,,808
808.42,Ischium,808.42,,808.4
813,Fracture of radius and ulna,813,,800-829
813.1,"Upper end, open",813.1,,813
813.13,Monteggia's fracture,813.13,,813.1
82,Tick-borne rickettsioses,82,,NO_CODE
82.9,"Tick-borne rickettsiosis, unspecified",82.9,,82
820,Fracture of neck of femur,820,,800-829
820.2,"Pertrochanteric fracture, closed",820.2,,820
820.21,Intertrochanteric section,820.21,,820.2
820.22,Subtrochanteric section,820.22,,820.2
820.3,"Pertrochanteric fracture, open",820.3,,820
820.31,Intertrochanteric section,820.31,,820.3
821,Fracture of other and unspecified parts of femur,821,,800-829
821.01,Shaft,821.01,,821
821.3,"Lower end, open",821.3,,821
821.33,Supracondylar fracture of femur,821.33,,821.3
83,Other rickettsioses,83,,NO_CODE
83.9,"Rickettsiosis, unspecified",83.9,,83
830-839,DISLOCATION,830-839,,800-999
839,"Other, multiple, and ill-defined dislocations",839,,830-839
839.03,Third cervical vertebra,839.03,,839
84,Malaria,84,,NO_CODE
84.8,Blackwater fever,84.8,,84
84.9,Other pernicious complications of malaria,84.9,,84
840-848,SPRAINS AND STRAINS OF JOINTS AND ADJACENT MUSCLES,840-848,,800-999
845,Sprains and strains of ankle and foot,845,,840-848
845.1,Foot,845.1,,845
845.19,Other,845.19,,845.1
860,Traumatic pneumothorax and hemothorax,860,,860-869
860-869,"INTERNAL INJURY OF THORAX, ABDOMEN, AND PELVIS",860-869,,800-999
860.3,Hemothorax with open wound into thorax,860.3,,860
863,Injury to gastrointestinal tract,863,,860-869
863.4,"Colon or rectum, without mention of open wound into cavity",863.4,,863
863.43,Descending [left] colon,863.43,,863.4
867,Injury to pelvic organs,867,,860-869
867.1,"Bladder and urethra, with open wound into cavity",867.1,,867
867.2,"Ureter, without mention of open wound into cavity",867.2,,867
867.8,"Unspecified pelvic organ, without mention of open wound into cavity",867.8,,867
870-897,OPEN WOUNDS,870-897,,800-999
871,Open wound of eyeball,871,,870-897
871.2,Rupture of eye with partial loss of intraocular tissue,871.2,,871
871.6,Penetration of eyeball with (nonmagnetic) foreign body,871.6,,871
871.9,Unspecified open wound of eyeball,871.9,,871
873,Other open wound of head,873,,870-897
873.3,"Nose, complicated",873.3,,873
873.31,Nasal septum,873.31,,873.3
873.32,Nasal cavity,873.32,,873.3
873.5,"Face, complicated",873.5,,873
873.59,Other and multiple sites,873.59,,873.5
873.6,"Internal structures of mouth, without mention of complication",873.6,,873
873.61,Buccal mucosa,873.61,,873.6
874,Open wound of neck,874,,870-897
874.9,"Other and unspecified parts, complicated",874.9,,874
88,Other arthropod-borne diseases,88,,NO_CODE
88.8,Other specified arthropod-borne diseases,88.8,,88
88.82,Babesiosis,88.82,,88.8
891,"Open wound of knee, leg [except thigh], and ankle",891,,870-897
891.2,With tendon involvement,891.2,,891
9,Ill-defined intestinal infections,9,,001-009
9.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",9.1,,9
900-904,INJURY TO BLOOD VESSELS,900-904,,800-999
901,Injury to blood vessels of thorax,901,,900-904
901.3,Innominate and subclavian veins,901.3,,901
902,Injury to blood vessels of abdomen and pelvis,902,,900-904
902.4,Renal blood vessels,902.4,,902
902.42,Renal vein,902.42,,902.4
91,"Early syphilis, symptomatic",91,,090-099
91.1,Primary anal syphilis,91.1,,91
91.8,Other forms of secondary syphilis,91.8,,91
91.81,Acute syphilitic meningitis (secondary),91.81,,91.8
91.9,Unspecified secondary syphilis,91.9,,91
920-924,CONTUSION WITH INTACT SKIN SURFACE,920-924,,800-999
922,Contusion of trunk,922,,920-924
922.2,Abdominal wall,922.2,,922
924,Contusion of lower limb and of other and unspecified sites,924,,920-924
924.2,"Ankle and foot, excluding toe(s)",924.2,,924
924.21,Ankle,924.21,,924.2
924.3,Toe,924.3,,924
925-929,CRUSHING INJURY,925-929,,800-999
927,Crushing injury of upper limb,927,,925-929
927.3,Finger(s),927.3,,927
930,Foreign body on external eye,930,,930-939
930-939,EFFECTS OF FOREIGN BODY ENTERING THROUGH ORIFICE,930-939,,800-999
930.2,Foreign body in lacrimal punctum,930.2,,930
938,"Foreign body in digestive system, unspecified",938,,930-939
94,Neurosyphilis,94,,090-099
94.8,Other specified neurosyphilis,94.8,,94
94.89,Other,94.89,,94.8
940-949,BURNS,940-949,,800-999
947,Burn of internal organs,947,,940-949
947.1,"Larynx, trachea, and lung",947.1,,947
950-957,INJURY TO NERVES AND SPINAL CORD,950-957,,800-999
951,Injury to other cranial nerve(s),951,,950-957
951.9,Injury to unspecified cranial nerve,951.9,,951
952,Spinal cord injury without evidence of spinal bone injury,952,,950-957
952.01,C 1 -C 4 level with complete lesion of spinal cord,952.01,,952
952.06,C 5 -C 7 level with complete lesion of spinal cord,952.06,,952
952.1,Dorsal [thoracic],952.1,,952
952.15,T 7 -T 12 level with unspecified spinal cord injury,952.15,,952.1
953,Injury to nerve roots and spinal plexus,953,,950-957
953.1,Dorsal root,953.1,,953
954,"Injury to other nerve(s) of trunk, excluding shoulder and pelvic girdles",954,,950-957
954.1,Other sympathetic,954.1,,954
955,Injury to peripheral nerve(s) of shoulder girdle and upper limb,955,,950-957
955.2,Ulnar nerve,955.2,,955
955.3,Radial nerve,955.3,,955
956,Injury to peripheral nerve(s) of pelvic girdle and lower limb,956,,950-957
956.5,Other specified nerve(s) of pelvic girdle and lower limb,956.5,,956
958-959,CERTAIN TRAUMATIC COMPLICATIONS AND UNSPECIFIED INJURIES,958-959,,800-999
959,"Injury, other and unspecified",959,,958-959
959.5,Finger,959.5,,959
960,Poisoning by antibiotics,960,,960-979
960-979,"POISONING BY DRUGS, MEDICINAL AND BIOLOGICAL SUBSTANCES",960-979,,800-999
960.5,Cephalosporin group,960.5,,960
962,Poisoning by hormones and synthetic substitutes,962,,960-979
962.1,Androgens and anabolic congeners,962.1,,962
962.4,Anterior pituitary hormones,962.4,,962
962.6,Parathyroid and parathyroid derivatives,962.6,,962
964,Poisoning by agents primarily affecting blood constituents,964,,960-979
964.9,Unspecified agents affecting blood constituents,964.9,,964
967,Poisoning by sedatives and hypnotics,967,,960-979
967.1,Chloral hydrate group,967.1,,967
967.6,"Mixed sedatives, not elsewhere classified",967.6,,967
969,Poisoning by psychotropic agents,969,,960-979
969.1,Phenothiazine-based tranquilizers,969.1,,969
969.4,Benzodiazepine-based tranquilizers,969.4,,969
969.8,Other specified psychotropic agents,969.8,,969
971,Poisoning by drugs primarily affecting the autonomic nervous system,971,,960-979
971.2,Sympathomimetics [adrenergics],971.2,,971
972,Poisoning by agents primarily affecting the cardiovascular system,972,,960-979
972.3,Ganglion-blocking agents,972.3,,972
972.7,"Antivaricose drugs, including sclerosing agents",972.7,,972
972.9,Other and unspecified agents primarily affecting the cardiovascular system,972.9,,972
974,"Poisoning by water, mineral, and uric acid metabolism drugs",974,,960-979
974.1,Purine derivative diuretics,974.1,,974
975,Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system,975,,960-979
975.4,Antitussives,975.4,,975
978,Poisoning by bacterial vaccines,978,,960-979
978.6,"Pertussis vaccine, including combinations with a pertussis component",978.6,,978
979,Poisoning by other vaccines and biological substances,979,,960-979
979.7,"Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component",979.7,,979
98,Gonococcal infections,98,,090-099
98.3,"Chronic, of upper genitourinary tract",98.3,,98
98.35,"Gonococcal cervicitis, chronic",98.35,,98.3
980,Toxic effect of alcohol,980,,980-989
980-989,TOXIC EFFECTS OF SUBSTANCES CHIEFLY NONMEDICINAL AS TO SOURCE,980-989,,800-999
980.2,Isopropyl alcohol,980.2,,980
980.3,Fusel oil,980.3,,980
984,Toxic effect of lead and its compounds (including fumes),984,,980-989
984.9,Unspecified lead compound,984.9,,984
987,"Toxic effect of other gases, fumes, or vapors",987,,980-989
987.9,"Unspecified gas, fume, or vapor",987.9,,987
989,"Toxic effect of other substances, chiefly nonmedicinal as to source",989,,980-989
989.8,"Other substances, chiefly nonmedicinal as to source",989.8,,989
989.89,Other,989.89,,989.8
989.9,"Unspecified substance, chiefly nonmedicinal as to source",989.9,,989
99,Other venereal diseases,99,,090-099
99.8,Other specified venereal diseases,99.8,,99
990-995,OTHER AND UNSPECIFIED EFFECTS OF EXTERNAL CAUSES,990-995,,800-999
992,Effects of heat and light,992,,990-995
992.6,"Heat fatigue, transient",992.6,,992
993,Effects of air pressure,993,,990-995
993.1,"Barotrauma, sinus",993.1,,993
994,Effects of other external causes,994,,990-995
994.6,Motion sickness,994.6,,994
996,Complications peculiar to certain specified procedures,996,,996-999
996-999,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED",996-999,,800-999
996.6,"Infection and inflammatory reaction due to internal prosthetic device, implant, and graft",996.6,,996
996.66,Due to internal joint prosthesis,996.66,,996.6
996.7,"Other complications of internal (biological) (synthetic) prosthetic device, implant, and graft",996.7,,996
996.71,Due to heart valve prosthesis,996.71,,996.7
996.77,Due to internal joint prosthesis,996.77,,996.7
996.9,Complications of reattached extremity or body part,996.9,,996
996.96,"Lower extremity, other and unspecified",996.96,,996.9
997,"Complications affecting specified body systems, not elsewhere classified",997,,996-999
997.01,Central nervous system complication,997.01,,997
997.6,Amputation stump complication,997.6,,997
997.62,Infection (chronic),997.62,,997.6
998,"Other complications of procedures, NEC",998,,996-999
998.4,Foreign body accidentally left during a procedure,998.4,,998
NO_CODE,,NO_CODE,,001-139
V01,Contact with or exposure to communicable diseases,V01,,V01-V06
V01-V06,PERSONS WITH POTENTIAL HEALTHHAZARDS RELATED TO COMMUNICABLE DISEASES,V01-V06,,NO_CODE
V01.0,Cholera,V01.0,,V01
V01.9,Unspecified communicable disease,V01.9,,V01
V02,Carrier or suspected carrier of infectious diseases,V02,,V01-V06
V02.0,Cholera,V02.0,,V02
V02.4,Diphtheria,V02.4,,V02
V02.6,Viral hepatitis,V02.6,,V02
V02.62,Hepatitis C carrier,V02.62,,V02.6
V10,Personal history of malignant neoplasm,V10,,V10-V19
V10-V19,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO PERSONAL AND FAMILY HISTORY,V10-V19,,NO_CODE
V10.2,Other respiratory and intrathoracic organs,V10.2,,V10
V10.22,"Nasal cavities, middle ear, and accessory sinuses",V10.22,,V10.2
V10.29,Other,V10.29,,V10.2
V10.4,Genital organs,V10.4,,V10
V10.45,"Male genital organ, unspecified",V10.45,,V10.4
V10.6,Leukemia,V10.6,,V10
V10.62,Myeloid leukemia,V10.62,,V10.6
V12,Personal history of certain other diseases,V12,,V10-V19
V12.7,Diseases of digestive system,V12.7,,V12
V12.71,Peptic ulcer disease,V12.71,,V12.7
V13,Personal history of other diseases,V13,,V10-V19
V13.1,Trophoblastic disease,V13.1,,V13
V13.9,Unspecified disease,V13.9,,V13
V14,Personal history of allergy to medicinal agents,V14,,V10-V19
V14.3,Other anti-infective agent,V14.3,,V14
V14.5,Narcotic agent,V14.5,,V14
V16,Family history of malignant neoplasm,V16,,V10-V19
V16.6,Leukemia,V16.6,,V16
V19,Family history of other conditions,V19,,V10-V19
V19.3,Other ear disorders,V19.3,,V19
V20-V29,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION AND DEVELOPMENT,V20-V29,,NO_CODE
V22,Normal pregnancy,V22,,V20-V29
V22.0,Supervision of normal first pregnancy,V22.0,,V22
V25,Encounter for contraceptive management,V25,,V20-V29
V25.4,Surveillance of previously prescribed contraceptive methods,V25.4,,V25
V25.40,"Contraceptive surveillance, unspecified",V25.40,,V25.4
V27,Outcome of delivery,V27,,V20-V29
V27.0,Single liveborn,V27.0,,V27
V27.3,"Twins, one liveborn and one stillborn",V27.3,,V27
V40-V49,PERSONS WITH A CONDITION INFLUENCING THEIR HEALTH STATUS,V40-V49,,NO_CODE
V41,Problems with special senses and other special functions,V41,,V40-V49
V41.4,Problems with voice production,V41.4,,V41
V41.6,Problems with swallowing and mastication,V41.6,,V41
V43,Organ or tissue replaced by other means,V43,,V40-V49
V43.6,Joint,V43.6,,V43
V43.61,Shoulder,V43.61,,V43.6
V45,Other postprocedural states,V45,,V40-V49
V45.8,Other postprocedural status,V45.8,,V45
V45.81,Aortocoronary bypass status,V45.81,,V45.8
V49,Other conditions influencing health status,V49,,V40-V49
V49.1,Mechanical problems with limbs,V49.1,,V49
V49.6,Upper limb amputation status,V49.6,,V49
V49.63,Hand,V49.63,,V49.6
V49.7,Lower limb amputation status,V49.7,,V49
V49.77,Hip,V49.77,,V49.7
V50,Elective surgery for purposes other than remedying health states,V50,,V50-V59
V50-V59,PERSONS ENCOUNTERING HEALTH SERVICES FOR SPECIFIC PROCEDURES AND AFTERCARE,V50-V59,,NO_CODE
V50.2,Routine or ritual circumcision,V50.2,,V50
V53,Fitting and adjustment of other device,V53,,V50-V59
V53.3,Cardiac device,V53.3,,V53
V53.31,Cardiac pacemaker,V53.31,,V53.3
V55,Attention to artificial openings,V55,,V50-V59
V55.9,Unspecified artificial opening,V55.9,,V55
V59,Donors,V59,,V50-V59
V59.3,Bone marrow,V59.3,,V59
V60,"Housing, household, and economic circumstances",V60,,V60-V69
V60-V69,PERSONS ENCOUNTERING HEALTH SERVICES IN OTHER CIRCUMSTANCES,V60-V69,,NO_CODE
V60.2,Inadequate material resources,V60.2,,V60
V62,Other psychosocial circumstances,V62,,V60-V69
V62.4,Social maladjustment,V62.4,,V62
V65,Other persons seeking consultation,V65,,V60-V69
V65.4,"Other counseling, not elsewhere classified",V65.4,,V65
V65.49,Other specified counseling,V65.49,,V65.4
V65.5,Person with feared complaint in whom no diagnosis was made,V65.5,,V65
V68,Encounters for administrative purposes,V68,,V60-V69
V68.2,Request for expert evidence,V68.2,,V68
V69,Problems related to lifestyle,V69,,V60-V69
V69.2,High-risk sexual behavior,V69.2,,V69
V70,General medical examination,V70,,V70-V82
V70-V82,PERSONS WITHOUT REPORTED DIAGNOSIS ENCOUNTERED DURING EXAMINATION AND INVESTIGATION OF INDIVIDUALS AND POPULATIONS,V70-V82,,NO_CODE
V70.9,Unspecified general medical examination,V70.9,,V70
V72,Special investigations and examinations,V72,,V70-V82
V72.8,Other specified examinations,V72.8,,V72
V72.85,Other specified examination,V72.85,,V72.8
V73,Special screening examination for viral and chlamydial diseases,V73,,V70-V82
V73.3,Rubella,V73.3,,V73
V73.8,Other specified viral and chlamydial diseases,V73.8,,V73
V73.88,Other specified chlamydial diseases,V73.88,,V73.8
V74,Special screening examination for bacterial and spirochetal diseases,V74,,V70-V82
V74.4,Bacterial conjunctivitis,V74.4,,V74
V75,Special screening examination for other infectious diseases,V75,,V70-V82
V75.0,Rickettsial diseases,V75.0,,V75
V76,Special screening for malignant neoplasms,V76,,V70-V82
V76.1,Breast,V76.1,,V76
V78,Special screening for disorders of blood and blood-forming organs,V78,,V70-V82
V78.2,Sickle-cell disease or trait,V78.2,,V78
V80,"Special screening for neurological, eye, and ear diseases",V80,,V70-V82
V80.1,Glaucoma,V80.1,,V80
V82,Special screening for other conditions,V82,,V70-V82
V82.5,Chemical poisoning and other contamination,V82.5,,V82
