Id,Name,Normalizedname,Phone,SourceAddress.AddressLine,SourceAddress.City,SourceAddress.State,SourceAddress.ZipCode,SourceAddress.Country,Fdn_legalentity8
1202,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7043021312,831 E Morehead St Ste 460,Charlotte,,,,602
1203,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2142143320,1701 Legacy Dr Ste 1150,Frisco,,,,602
1204,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4174279000,4650 S National Ave Ste B4,Springfield,,,,602
1205,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,211 Harvest Ln Ste 2,Altoona,,,,605
1206,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,2400 Old Brick Rd Ste 71,Glen Allen,,,,601
1207,Triad Advisors LLC,TRIAD ADVISORS LLC,2092882267,14570 Mono Way Ste I,Sonora,,,,605
1208,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,2027 Oswald St,Honolulu,,,,601
1209,Triad Advisors LLC,TRIAD ADVISORS LLC,8656264380,242 S Pleasantburg Dr,Greenville,,,,605
1210,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,51 S Stanfield Rd,Troy,,,,602
1211,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,232 S Irena Ave Unit B,Redondo Beach,,,,600
1212,Morgan Stanley,MORGAN STANLEY,4156936259,101 California St Fl 23,San Francisco,,,,599
1213,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5053724972,414 Old Taos Hwy,Santa Fe,,,,602
1214,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9253064600,1981 N Broadway Ste 210,Walnut Creek,,,,602
1215,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,5310 Acton Hwy Ste 101,Granbury,,,,601
1216,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3374432160,1921 Kaliste Saloom Rd Ste 203,Lafayette,,,,602
1217,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7047651688,559 Davidson Gateway Dr Ste 101,Davidson,,,,602
1218,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,N88w16447 Main St Ste 400,Menomonee Falls,,,,602
1219,Triad Advisors LLC,TRIAD ADVISORS LLC,8004014830,286 Broad St,Red Bank,,,,605
1220,Morgan Stanley,MORGAN STANLEY,9142251000,1080 Jordan Creek Pkwy Ste 400n,West Des Moines,,,,599
1221,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,635 N 12th St Fl 4th,Lemoyne,,,,605
1222,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9133617750,8575 W 110th St Ste 230,Overland Park,,,,602
1223,Triad Advisors LLC,TRIAD ADVISORS LLC,4048415009,3333 Riverwood Pkwy Se Ste 400,Atlanta,,,,605
1224,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,5335 Ballantyne Commons Pkwy,Charlotte,,,,600
1225,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,725 Harvard Dr,Owensboro,,,,601
1226,Triad Advisors LLC,TRIAD ADVISORS LLC,2167514229,3272 Ingleside Rd,Shaker Heights,,,,605
1227,Triad Advisors LLC,TRIAD ADVISORS LLC,4074477211,301 E Pine St Ste 650,Orlando,,,,605
1228,Morgan Stanley,MORGAN STANLEY,6174786400,125 High St Fl 23,Boston,,,,599
1229,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,7490 Waterside Crossing Blvd,Denver,,,,601
1230,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,1440 Old Lenoir Rd Ste D,Hickory,,,,601
1231,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,155 Seaport Blvd,Boston,,,,600
1232,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8552889099,4101 Lake Boone Trl Ste 110,Raleigh,,,,602
1233,Triad Advisors LLC,TRIAD ADVISORS LLC,8664444964,1320 Valley Vista Dr Ste 202,Diamond Bar,,,,605
1234,Triad Advisors LLC,TRIAD ADVISORS LLC,7133653800,9600 Long Point Rd Ste 200,Houston,,,,605
1235,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,1616 Moonraker Dr,Milton,,,,605
1236,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9156156440,124 W Castellano Dr Ste 202,El Paso,,,,602
1237,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,22 Berkshire St,Norfolk,,,,600
1238,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,148 River St Ste 120,Greenville,,,,602
1239,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,1135 Pier View Dr Ste 170,Idaho Falls,,,,602
1240,Triad Advisors LLC,TRIAD ADVISORS LLC,7707715812,12655 Birmingham Hwy Ste 210,Milton,,,,605
1241,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8049056837,5800 Patterson Ave Ste 103,Richmond,,,,602
1242,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,13454 Sunrise Valley Dr Ste 220,Herndon,,,,602
1243,Mutual Securities Inc,MUTUAL SECURITIES INC,8054971717,100 E Thousand Oaks Blvd Ste 101,Thousand Oaks,,,,606
1244,Morgan Stanley,MORGAN STANLEY,2567605377,105 S Court St,Florence,,,,599
1245,Triad Advisors LLC,TRIAD ADVISORS LLC,8478607920,13225 N Fountain Hills Blvd,Fountain Hills,,,,605
1246,Morgan Stanley,MORGAN STANLEY,5023944090,8 Biltmore Est Unit 225,Phoenix,,,,599
1247,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3037407707,2679 W Main St,Littleton,,,,602
1248,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,5700 N Highway 1 Ste 200,Melbourne,,,,602
1249,Morgan Stanley,MORGAN STANLEY,3107279533,2141 Rosecrans Ave Ste 3100,El Segundo,,,,599
1250,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,400 Timberidge Trl,Gates Mills,,,,606
1251,Triad Advisors LLC,TRIAD ADVISORS LLC,3149971652,680 Craig Rd Ste 201,Saint Louis,,,,605
1252,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,200 Motor Pkwy Ste A7,Hauppauge,,,,605
1253,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,8005441577,500 N Hurstbourne Pkwy Ste 450,Louisville,,,,600
1254,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,9046863966,822 A1a N Ste 100,Ponte Vedra Beach,,,,600
1255,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,3602582748,655 W Columbia Way Ste 404,Vancouver,,,,600
1256,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,40525433,9150 N May Ave Ste B,Oklahoma City,,,,602
1257,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,401 N Michigan Ave Ste 650,Chicago,,,,606
1258,Triad Advisors LLC,TRIAD ADVISORS LLC,8006557162,421 S State St,Clarks Summit,,,,605
1259,Morgan Stanley,MORGAN STANLEY,212296666,522 5th Ave,New York,,,,599
1260,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5852705170,121 S Main St,Fairport,,,,602
1261,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,4401 Northside Pkwy Nw Ste 900,Atlanta,,,,605
1262,Triad Advisors LLC,TRIAD ADVISORS LLC,404388839,6776 Meeting House Rd,Cumming,,,,605
1263,Triad Advisors LLC,TRIAD ADVISORS LLC,9155328885,123 W Mills Ave Ste 200,El Paso,,,,605
1264,Triad Advisors LLC,TRIAD ADVISORS LLC,6165301400,348 S Waverly Rd Ste 100,Holland,,,,605
1265,Triad Advisors LLC,TRIAD ADVISORS LLC,8504345321,300 N Tarragona St,Pensacola,,,,605
1266,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,8551 Boat Club Rd Ste 105,Fort Worth,,,,601
1267,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,601 Heritage Dr Ste 122,Jupiter,,,,601
1268,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3362334586,3729 S Church St Ste 114,Burlington,,,,602
1269,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5165881950,111 South St Ste 1,Oyster Bay,,,,602
1270,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,888548516,700 S Rosemary Ave Ste 204-130,West Palm Beach,,,,601
1271,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,620 Green Valley Rd Ste 206,Greensboro,,,,606
1272,Triad Advisors LLC,TRIAD ADVISORS LLC,8478607920,15169 N Scottsdale Rd Ste 205,Scottsdale,,,,605
1273,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,625 W 21st St,Houston,,,,601
1274,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,921 E Fort Ave Ste 230,Baltimore,,,,605
1275,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,40 Grove St Ste 335,Wellesley,,,,601
1276,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,620 School St Ste A,Houma,,,,606
1277,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,1807 E Edgewood St Ste A,Springfield,,,,602
1278,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7272414601,5825 66th St N,Saint Petersburg,,,,602
1279,Triad Advisors LLC,TRIAD ADVISORS LLC,3126421000,410 N Michigan Ave Fl 12,Chicago,,,,605
1280,Triad Advisors LLC,TRIAD ADVISORS LLC,253596618,1201 Pacific Ave Ste 2025,Tacoma,,,,605
1281,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8776371227,149 Crepe Myrtle Dr,Aiken,,,,602
1282,Triad Advisors LLC,TRIAD ADVISORS LLC,9164751640,1231 I St Ste 301,Sacramento,,,,605
1283,Morgan Stanley,MORGAN STANLEY,9142251000,1 New York Plz,New York,,,,599
1284,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8043626800,3460 W Clay St,Richmond,,,,602
1285,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8775013151,662 Main St Ste 6,Sugarloaf,,,,602
1286,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5058375325,5600 Eubank Blvd Ne Ste 250,Albuquerque,,,,602
1287,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,6267956874,975 S Fair Oaks Ave,Pasadena,,,,602
1288,Triad Advisors LLC,TRIAD ADVISORS LLC,6782442600,5775 Glenridge Dr Ste B110,Atlanta,,,,605
1289,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,42 Haskell Dr,Bratenahl,,,,605
1290,Morgan Stanley,MORGAN STANLEY,3055335400,200 S Biscayne Blvd Ste 1100,Miami,,,,599
1291,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,3100 S College Ave Ste 110,Fort Collins,,,,600
1292,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,211 E 8th St Ste E,Lawrence,,,,606
1293,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,210 Coming St # C,Charleston,,,,605
1294,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,309 E Paces Ferry Rd Ne Ste 1000,Atlanta,,,,605
1295,Triad Advisors LLC,TRIAD ADVISORS LLC,8172957400,550 Bailey Ave Ste 150,Fort Worth,,,,605
1296,Triad Advisors LLC,TRIAD ADVISORS LLC,7707715812,12655 Birmingham Hwy Ste 201,Milton,,,,605
1297,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,1842 Centre St Ste 202,Boston,,,,602
1298,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,1323 N University Dr,Nacogdoches,,,,602
1299,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8508768630,316 S Baylen St Ste 509,Pensacola,,,,602
1300,Morgan Stanley,MORGAN STANLEY,9142251000,180 N University Ave Ste 270,Provo,,,,599
1301,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,1308 Fort Bragg Rd Ste 101,Fayetteville,,,,602
1302,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,8442577667,130 S Main St Ste 600,Greenville,,,,601
1303,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,2052089868,800 Shades Creek Pkwy Ste 310,Birmingham,,,,601
1304,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,125 Townpark Dr Nw Ste 300,Kennesaw,,,,605
1305,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,37 Church St Ste 11,Waynesville,,,,601
1306,Triad Advisors LLC,TRIAD ADVISORS LLC,8002374134,44160 Scholar Plz Ste 490,Leesburg,,,,605
1307,Triad Advisors LLC,TRIAD ADVISORS LLC,8007204003,2949 E Copper Point Dr Ste 100,Meridian,,,,605
1308,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,7134252551,2236 Bissonnet St Ste A,Houston,,,,602
1309,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2564391012,110 Bay St,Gadsden,,,,602
1310,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8043629010,5701 Patterson Ave Fl 1,Richmond,,,,602
1311,Triad Advisors LLC,TRIAD ADVISORS LLC,3367657597,507 Olive St,Winston Salem,,,,605
1312,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3373124001,2000 Lake St,Lake Charles,,,,602
1313,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8176159237,4971 E I-20 Svc. Rd N Ste 204/205,Willow Park,,,,602
1314,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3204034001,2800 1st St S,Willmar,,,,602
1315,Morgan Stanley,MORGAN STANLEY,8169327819,4600 Madison Ave Ste 1200,Kansas City,,,,599
1316,Morgan Stanley,MORGAN STANLEY,6512158400,380 Saint Peter St Ste 1000,Saint Paul,,,,599
1317,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2627251200,1166 Quail Ct Ste 310,Pewaukee,,,,602
1318,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,16021 N Florida Ave,Lutz,,,,601
1319,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2394302500,4099 Tamiami Trl N Ste 301,Naples,,,,602
1320,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,10001 Gifford Dr,Spring Hill,,,,600
1321,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,11687 Vicolo Loop,Windermere,,,,600
1322,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,1806 Forest Glen Dr,Fruitland Park,,,,600
1323,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,8287344868,717 S Main St,Waynesville,,,,601
1324,Morgan Stanley,MORGAN STANLEY,9142251000,3335 Chantarene Dr,Pensacola,,,,599
1325,Triad Advisors LLC,TRIAD ADVISORS LLC,8592191601,3306 Clays Mill Rd Ste 101,Lexington,,,,605
1326,Triad Advisors LLC,TRIAD ADVISORS LLC,7708406042,3254 University Dr Ste 190,Auburn Hills,,,,605
1327,Morgan Stanley,MORGAN STANLEY,2566905347,305 Church St Sw Ste 720,Huntsville,,,,599
1328,Morgan Stanley,MORGAN STANLEY,9142251000,250 Fillmore St Unit 104,Denver,,,,599
1329,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,1933 Blue River Rd,Holiday,,,,601
1330,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5755505999,400 N Pennsylvania Ave,Roswell,,,,602
1331,Morgan Stanley,MORGAN STANLEY,6174786500,28 State St,Boston,,,,599
1332,Morgan Stanley,MORGAN STANLEY,541772273,3103 Signature Ct Ste 101,Medford,,,,599
1333,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3144494334,3452 W Genesee St Ste 2,Syracuse,,,,602
1334,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8148861004,234 Convention Center Dr,Duncansville,,,,602
1335,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4158771630,1 Market St Ste 3600,San Francisco,,,,602
1336,Triad Advisors LLC,TRIAD ADVISORS LLC,7708406042,99 Cathedral St,Annapolis,,,,605
1337,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4459999099,1200 Liberty Ridge Dr Ste 210,Chesterbrook,,,,602
1338,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8108853200,111 S Leroy St Ste 201,Fenton,,,,602
1339,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,3045542500,455 Suncrest Towne Ctr Dr Ste 300,Morgantown,,,,602
1340,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,543 Riffel Rd Ste F,Wooster,,,,602
1341,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,6712 Renita Ln,Bethesda,,,,600
1342,Morgan Stanley,MORGAN STANLEY,9142251000,3 Edison Dr,Alpharetta,,,,599
1343,Morgan Stanley,MORGAN STANLEY,9142251000,100 S Charles St,Baltimore,,,,599
1344,Morgan Stanley,MORGAN STANLEY,7166314629,50 Fountain Plz Ste 400,Buffalo,,,,599
1345,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,6196563140,880 Cararios Ct Ste 200,Chula Vista,,,,602
1346,Morgan Stanley,MORGAN STANLEY,9142251000,221 Main St Ste 1340,San Francisco,,,,599
1347,Morgan Stanley,MORGAN STANLEY,6123406787,225 S 6th St Ste 5300,Minneapolis,,,,599
1348,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,303 International Cir Ste 300,Hunt Valley,,,,602
1349,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5743469901,663 County Road 17 Ste 5,Elkhart,,,,602
1350,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,,250 E Wisconsin Ave,Milwaukee,,,,602
1351,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,1202 N Mullen St,Tacoma,,,,600
1352,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,390 N Orange Ave Ste 2300,Orlando,,,,601
1353,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4087216787,3031 Tisch Way,San Jose,,,,602
1354,Triad Advisors LLC,TRIAD ADVISORS LLC,9133385300,11101 Switzer Rd Ste 200,Overland Park,,,,605
1355,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,2829 Wehrle Dr Ste 4,Williamsville,,,,602
1356,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,645 E Winchester Way,Chandler,,,,600
1357,Triad Advisors LLC,TRIAD ADVISORS LLC,7708406042,1185 Avenue Of The Americas Fl 3,New York,,,,605
1358,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,131 Jeremy Point Pl,Mooresville,,,,600
1359,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,1980 N Milwaukee Ave Apt 211,Chicago,,,,600
1360,Mutual Securities Inc,MUTUAL SECURITIES INC,8057646740,9140 W Dodge Rd Ste 230,Omaha,,,,606
1361,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,505772857,1421 Luisa St Ste D,Santa Fe,,,,602
1362,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9252802257,1880 Tice Valley Blvd,Walnut Creek,,,,602
1363,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,9416293555,12650 New Brittany Blvd Ste B,Fort Myers,,,,602
1364,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,22107 Elmira Blvd Ste A,Port Charlotte,,,,602
1365,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,8005448666,28699 Chagrin Blvd,Beachwood,,,,600
1366,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8882812900,26 Main St Ste 303,Chatham,,,,602
1367,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,770352449,8240 Beckett Park Dr Ste D,West Chester,,,,601
1368,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,440 E Diehl Rd Ste 330,Naperville,,,,602
1369,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,1112 Sunflower Cir,Layton,,,,600
1370,Morgan Stanley,MORGAN STANLEY,248341596,40900 Woodward Ave,Bloomfield Hills,,,,599
1371,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8127276224,101 W Kirkwood Ave Ste 224,Bloomington,,,,602
1372,Triad Advisors LLC,TRIAD ADVISORS LLC,2082976979,873 E State St,Eagle,,,,605
1373,Triad Advisors LLC,TRIAD ADVISORS LLC,7574225002,1060 Laskin Rd Ste B,Virginia Beach,,,,605
1374,Morgan Stanley,MORGAN STANLEY,4137361116,1 Technology Dr,Westborough,,,,599
1375,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8023832033,121 Connor Way Ste 245,Williston,,,,602
1376,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8018836810,2319 S Foothill Dr Ste 265,Salt Lake City,,,,602
1377,Morgan Stanley,MORGAN STANLEY,2022925485,1747 Pennsylvania Ave Nw Ste 700,Washington,,,,599
1378,Mutual Securities Inc,MUTUAL SECURITIES INC,5073792919,8200 Commonwealth Dr Ste 200,Eden Prairie,,,,606
1379,Triad Advisors LLC,TRIAD ADVISORS LLC,5075192230,100 Warren St Ste 338,Mankato,,,,605
1380,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2623065681,120 N Main St Ste 250,West Bend,,,,602
1381,Morgan Stanley,MORGAN STANLEY,7704811762,340 Jesse Jewell Pkwy Se Ste 550,Gainesville,,,,599
1382,Triad Advisors LLC,TRIAD ADVISORS LLC,908630200,180 Mount Airy Rd Ste 203,Basking Ridge,,,,605
1383,Triad Advisors LLC,TRIAD ADVISORS LLC,7708406042,3330 Cumberland Blvd Se Ste 500,Atlanta,,,,605
1384,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,172 Tawnyberry Dr,Athens,,,,600
1385,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4197209700,6000 Renaissance Pl Ste B,Toledo,,,,602
1386,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,815687201,2424 Lake Shore Dr Ste A,Woodstock,,,,602
1387,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,800227629,7565 W Bell Rd,Peoria,,,,600
1388,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,4015587400,301 Metro Center Blvd Ste 204,Warwick,,,,602
1389,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,312 N Seminary Ave,Park Ridge,,,,600
1390,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8593996100,3285 Blazer Pkwy Ste 100,Lexington,,,,602
1391,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,812232304,925 Wabash Ave Ste 320,Terre Haute,,,,602
1392,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8434712659,225 Seven Farms Dr Ste 300,Daniel Island,,,,602
1393,Advisory Services Network LLC,ADVISORY SERVICES NETWORK LLC,8884977995,1510 Demonbreun St Apt 1107,Nashville,,,,601
1394,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,325313900,1500 Industrial Blvd Ste 305-b,Abilene,,,,602
1395,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2484998704,3121 University Dr Ste 180,Auburn Hills,,,,602
1396,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8129099490,123 Nw 4th St Ste 1,Evansville,,,,602
1397,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8009994328,1979 Eastwood Rd Ste 104,Wilmington,,,,602
1398,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,8159327469,232 Main St Nw,Bourbonnais,,,,602
1399,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,84 Palm Park Ct,Las Vegas,,,,600
1400,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,678336140,13560 Morris Rd,Alpharetta,,,,602
1401,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2673925189,200 Abington Executive Park,Clarks Summit,,,,602
1402,Fidelity Brokerage Services Llc,FIDELITY BROKERAGE SERVICES LLC,6175637000,1234 6th St Apt 405,Santa Monica,,,,600
1403,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,2486622000,151 N Center St Ste 202,Northville,,,,602
1404,Wells Fargo Advisors Fin Network LLC,WELLS FARGO ADVISORS FIN NETWORK LLC,5614728478,3825 Pga Blvd Ste 601,Palm Beach Gardens,,,,602
1405,Triad Advisors LLC,TRIAD ADVISORS LLC,7708406042,1900 West Loop S Ste 1600,Houston,,,,605
