GIVEN_NAME,TOP_NICKNAMES,ALL_NICKNAMES
rhyna,rhynie,rhynie
ricardo,rick,"rick,ricky"
rich,dick,"dick,rick,riche,richard,dickie"
richard,dick,"dick,dickon,dickie,dicky,rick,rich,ricky"
richie,richard,richard
rick,ricky,ricky
ricky,rick,"dick,rich,rick"
robert,bob,"hob,hobkin,dob,rob,bobby,dobbin,bob"
roberta,bertie,"robbie,bert,bobbie,birdie,bertie"
roderick,rod,"rod,erick,rickie"
rodger,rod,"roge,bobby,hodge,rod,robby,rupert,robin"
roger,rog,"roge,bobby,hodge,rod,robby,rupert,robin"
roland,rollo,"rollo,lanny,orlando,rolly"
ron,ronnie,"ronald,ronnie,ronny"
ronald,ron,"naldo,ron,ronny"
ronnie,ronald,ronald
ronny,ronald,ronald
rosa,rose,rose
rosabel,rosa,"belle,roz,rosa,rose"
rosabella,rosa,"belle,roz,rosa,rose"
rosalinda,linda,"linda,roz,rosa,rose"
rosalyn,roz,"linda,roz,rosa,rose"
roscoe,ross,ross
rose,rosie,rosie
roseann,rose,"rose,ann,rosie,roz"
roseanna,ann,"rose,ann,rosie,roz"
roseanne,ann,ann
rosina,sina,sina
roxane,roxie,"rox,roxie"
roxanna,roxie,"roxie,rose,ann"
roxanne,roxie,"roxie,rose,ann"
roz,rosalyn,rosalyn
rube,reuben,reuben
rudolph,rudy,"dolph,rudy,olph,rolf"
rudolphus,rudy,"dolph,rudy,olph,rolf"
rudy,rudolph,rudolph
russ,russell,russell
russell,russ,"russ,rusty"
rusty,russell,russell
ryan,ry,ry
sabrina,brina,brina
salah,boss,"boss,ceo,legrosfromage"
salome,loomie,loomie
salvador,sal,sal
sam,sammy,"sammy,samuel"
samantha,sam,"sammy,sam,mantha"
sammy,samuel,samuel
sampson,sam,sam
samson,sam,sam
samuel,sam,"sammy,sam"
samyra,myra,myra
sandra,sandy,"sandy,cassandra"
sandy,sandra,sandra
sanford,sandy,sandy
sarah,sadie,"sally,sadie"
sarilla,silla,silla
savannah,vannie,"vannie,anna"
scott,scotty,"scotty,sceeter,squat,scottie"
sebastian,sebby,sebby
selma,anselm,anselm
serena,rena,rena
serilla,rilla,rilla
seymour,morey,"see,morey"
shaina,shay,"sha,shay"
sharon,shay,"sha,shay"
sheila,cecilia,cecilia
sheldon,shelly,shelly
shelton,tony,"tony,shel,shelly"
sheridan,dan,"dan,danny,sher"
sheryl,sher,sher
shirley,lee,"sherry,lee,shirl"
sibbilla,sibbie,"sybill,sibbie,sibbell"
sidney,sid,"syd,sid"
sigfired,sid,sid
sigfrid,sid,sid
sigismund,sig,sig
silas,si,si
silence,liley,liley
silvester,sly,"vester,si,sly,vest,syl"
simeon,si,"si,sion"
simon,si,"si,sion"
sly,sylvester,sylvester
smith,smitty,smitty
socrates,crate,crate
solomon,solly,"sal,salmon,sol,solly,saul,zolly"
sondra,sonnie,"dre,sonnie"
sophia,sophie,sophie
sophronia,fronia,"frona,sophia,fronia"
stephan,steve,steve
stephanie,stephie,"stephen,stephie,annie,steph"
stephen,steve,"steve,steph"
steve,stephen,"stephen,steven"
steven,steve,"steve,steph"
stuart,stu,stu
sue,susie,"susie,susan"
sullivan,sully,"sully,van"
sully,sullivan,sullivan
susan,sue,"hannah,susie,sue,sukey,suzie"
susannah,sue,"hannah,susie,sue,sukey"
susie,suzie,suzie
suzanne,sue,"suki,sue,susie"
sybill,sibbie,sibbie
sydney,sid,sid
sylvanus,sly,"sly,syl"
sylvester,sly,"sy,sly,vet,syl,vester,si,vessie"
tabby,tabitha,tabitha
tabitha,tabby,tabby
tamarra,tammy,tammy
tanafra,tanny,tanny
tasha,tashie,"tash,tashie"
ted,teddy,teddy
temperance,tempy,tempy
terence,terry,terry
teresa,terry,terry
terry,terence,terence
tess,teresa,"teresa,theresa"
tessa,teresa,"teresa,theresa"
thad,thaddeus,thaddeus
thaddeus,thad,thad
theo,theodore,theodore
theodora,dora,dora
theodore,theo,"theo,ted,teddy"
theodosia,thea,"thea,dosia,teddie"
theophilus,ophi,ophi
theotha,otha,otha
theresa,tess,"tessie,thirza,tessa,terry,tracy,tess,thursa"
thom,tom,"thomas,tommy,tom"
thomas,tom,"thom,tommy,tom"
thomasa,tamzine,tamzine
tiffany,tiff,"tiff,tiffy"
tilford,tillie,tillie
tim,timmy,"timothy,timmy"
timmy,timothy,timothy
timothy,tim,"tim,timmy"
tina,christina,christina
tobias,toby,"bias,toby"
tom,tommy,"thomas,tommy"
tommy,thomas,thomas
toni,toni,toni
tony,anthony,anthony
tranquilla,quilla,"trannie,quilla"
trevor,trev,"trev,trey"
trisha,patricia,patricia
trix,trixie,trixie
trudy,gertrude,gertrude
tryphena,phena,phena
unice,nicie,"eunice,nicie"
uriah,riah,riah
ursula,sula,"sulie,sula"
valentina,val,"felty,vallie,val"
valentine,felty,felty
valeri,val,val
valerie,val,val
vanburen,buren,buren
vandalia,vannie,vannie
vanessa,nessa,"essa,vanna,nessa"
vernisee,nicey,nicey
veronica,ronnie,"vonnie,ron,ronna,ronie,frony,franky,ronnie"
vic,victor,"vicki,victor,vicky"
vicki,vicky,"vicky,victoria"
vickie,victoria,victoria
vicky,victoria,victoria
victor,vic,vic
victoria,tory,"torie,vic,vicki,tory,vicky"
vin,vinny,vinny
vince,vinnie,vinnie
vincent,vince,"vic,vince,vinnie,vin,vinny"
vincenzo,vin,"vic,vinnie,vin,vinny"
vinson,vinny,vinny
viola,vi,"ola,vi"
violetta,lettie,lettie
virginia,ginny,"jane,jennie,ginny,virgy,ginger"
vitaliy,vitya,"vitya,vitalya"
vivian,viv,"vi,viv"
waldo,ozzy,"ozzy,ossy"
wallace,wally,wally
wally,walt,walt
walter,wally,"wally,walt"
washington,wash,wash
webster,webb,webb
wendy,wen,wen
wilber,bert,"will,bert"
wilbur,willy,"willy,willie"
wilda,willie,willie
wilfred,will,"will,willie,fred"
wilhelmina,wilma,"mina,wilma,willie,minnie"
will,willie,"bill,willie,wilbur,fred"
william,bill,"willy,bell,bela,bill,will,billy,willie"
willie,fred,"william,fred"
willis,bill,"willy,bill"
wilson,will,"will,willy,willie"
winfield,win,"field,winny,win"
winifred,freddie,"freddie,winnie,winnet"
winnie,winnifred,winnifred
winnifred,freddie,"freddie,freddy,winny,winnie,fred"
winny,winnifred,winnifred
winton,wint,wint
woodrow,woody,"woody,wood,drew"
yeona,ona,"onie,ona"
yulan,lan,"lan,yul"
yvonne,vonna,vonna
zach,zachariah,zachariah
zachariah,zach,"zachy,zach,zeke"
zebedee,zeb,zeb
zedediah,zed,"dyer,zed,diah"
zephaniah,zeph,zeph
