SIC_CODE_ID,SIC_CODE,SIC_DESC
176101,176101,ROOFING AND GUTTER WORK
176199,176199,"ROOFING, SIDING, AND SHEETMETAL WORK, NEC"
177100,177100,CONCRETE WORK
177101,177101,"STUCCO, GUNITE, AND GROUTING CONTRACTORS"
177102,177102,CURB AND SIDEWALK CONTRACTORS
177103,177103,"DRIVEWAY, PARKING LOT, AND BLACKTOP CONTRACTORS"
177199,177199,"CONCRETE WORK, NEC"
178100,178100,WATER WELL DRILLING
178199,178199,"WATER WELL DRILLING, NEC"
179100,179100,STRUCTURAL STEEL ERECTION
179199,179199,"STRUCTURAL STEEL ERECTION, NEC"
179300,179300,GLASS AND GLAZING WORK
179400,179400,EXCAVATION WORK
179499,179499,"EXCAVATION WORK, NEC"
179500,179500,WRECKING AND DEMOLITION WORK
179599,179599,"WRECKING AND DEMOLITION WORK, NEC"
179600,179600,INSTALLING BUILDING EQUIPMENT
179699,179699,"INSTALLING BUILDING EQUIPMENT, NEC"
179900,179900,"SPECIAL TRADE CONTRACTORS, NEC"
179901,179901,ATHLETIC AND RECREATION FACILITIES CONSTRUCTION
179902,179902,"COATING, CAULKING, AND WEATHER, WATER, AND FIREPROOFING"
179903,179903,SERVICE STATION EQUIPMENT
179904,179904,RIGGING AND SCAFFOLDING
179905,179905,"EXTERIOR CLEANING, INCLUDING SANDBLASTING"
179906,179906,"HOME/OFFICE INTERIORS FINISHING, FURNISHING AND REMODELING"
179907,179907,PARKING FACILITY EQUIPMENT AND MAINTENANCE
179908,179908,DECONTAMINATION SERVICES
179909,179909,BUILDING SITE PREPARATION
179999,179999,"SPECIAL TRADE CONTRACTORS, NEC, NEC"
201100,201100,MEAT PACKING PLANTS
201101,201101,"BEEF PRODUCTS, FROM BEEF SLAUGHTERED ON SITE"
201102,201102,"PORK PRODUCTS, FROM PORK SLAUGHTERED ON SITE"
201103,201103,"LAMB PRODUCTS, FROM LAMB SLAUGHTERED ON SITE"
201104,201104,"MEAT BY-PRODUCTS, FROM MEAT SLAUGHTERED ON SITE"
201199,201199,"MEAT PACKING PLANTS, NEC"
201300,201300,SAUSAGES AND OTHER PREPARED MEATS
201301,201301,"PREPARED BEEF PRODUCTS, FROM PURCHASED BEEF"
201302,201302,"PREPARED PORK PRODUCTS, FROM PURCHASED PORK"
201303,201303,"SAUSAGES AND RELATED PRODUCTS, FROM PURCHASED MEAT"
201399,201399,"SAUSAGES AND OTHER PREPARED MEATS, NEC"
201500,201500,POULTRY SLAUGHTERING AND PROCESSING
201501,201501,CHICKEN SLAUGHTERING AND PROCESSING
201502,201502,DUCK SLAUGHTERING AND PROCESSING
201503,201503,EGG PROCESSING
201504,201504,SMALL GAME SLAUGHTERING AND PROCESSING
201505,201505,GEESE SLAUGHTERING AND PROCESSING
201506,201506,POULTRY SLAUGHTERING AND PROCESSING
201507,201507,RABBIT SLAUGHTERING AND PROCESSING
201508,201508,TURKEY PROCESSING AND SLAUGHTERING
201509,201509,"POULTRY SAUSAGE, LUNCHEON MEATS, AND OTHER POULTRY PRODUCTS"
202100,202100,CREAMERY BUTTER
202199,202199,"CREAMERY BUTTER, NEC"
202200,202200,CHEESE; NATURAL AND PROCESSED
202201,202201,"CHEESE SPREADS, DIPS, PASTES, AND OTHER CHEESE PRODUCTS"
202299,202299,"CHEESE; NATURAL AND PROCESSED, NEC"
202300,202300,"DRY, CONDENSED AND EVAPORATED DAIRY PRODUCTS"
202301,202301,BABY FORMULAS
202302,202302,"CONDENSED, CONCENTRATED, AND EVAPORATED MILK PRODUCTS"
202303,202303,DRIED AND POWDERED MILK AND MILK PRODUCTS
202399,202399,"DRY, CONDENSED, EVAPORATED PRODUCTS, NEC"
202400,202400,ICE CREAM AND FROZEN DESERTS
202401,202401,ICE CREAM AND ICE MILK
202402,202402,DAIRY BASED FROZEN DESSERTS
202403,202403,NONDAIRY BASED FROZEN DESSERTS
202600,202600,FLUID MILK
202601,202601,"MILK AND CREAM, EXCEPT FERMENTED, CULTURED, AND FLAVORED"
202602,202602,FERMENTED AND CULTURED MILK PRODUCTS
202699,202699,"FLUID MILK, NEC"
203200,203200,CANNED SPECIALTIES
203201,203201,"BEANS AND BEAN SPROUTS, CANNED, JARRED, ETC."
203202,203202,"ETHNIC FOODS, CANNED, JARRED, ETC."
203203,203203,"SOUPS AND BROTHS, CANNED, JARRED, ETC."
203299,203299,"CANNED SPECIALTIES, NEC"
203300,203300,CANNED FRUITS AND SPECIALTIES
203301,203301,"TOMATO PRODUCTS, PACKAGED IN CANS, JARS, ETC."
203302,203302,"JAMS, JELLIES, AND PRESERVES, PACKAGED IN CANS, JARS, ETC."
203303,203303,"FRUITS AND FRUIT PRODUCTS, IN CANS, JARS, ETC."
203304,203304,"VEGETABLES AND VEGETABLE PRODUCTS, IN CANS, JARS, ETC."
203400,203400,"DRIED AND DEHYDRATED FRUITS, VEGETABLES AND SOUP MIXES"
203401,203401,DRIED AND DEHYDRATED SOUP MIXES
203402,203402,DRIED AND DEHYDRATED FRUITS
203403,203403,DRIED AND DEHYDRATED VEGETABLES
203500,203500,"PICKLES, SAUCES, AND SALAD DRESSINGS"
203501,203501,"SEASONINGS AND SAUCES, EXCEPT TOMATO AND DRY"
203502,203502,PICKLED FRUITS AND VEGETABLES
203700,203700,FROZEN FRUITS AND VEGETABLES
203701,203701,FROZEN FRUITS AND VEGETABLES
203702,203702,FRUIT JUICES
203800,203800,"FROZEN SPECIALTIES, NEC"
203899,203899,"FROZEN SPECIALTIES, NEC, NEC"
204100,204100,FLOUR AND OTHER GRAIN MILL PRODUCTS
204101,204101,FLOUR
204102,204102,DOUGHS AND BATTERS
204103,204103,FLOUR MIXES
204199,204199,"FLOUR AND OTHER GRAIN MILL PRODUCTS, NEC"
204300,204300,CEREAL BREAKFAST FOODS
204399,204399,"CEREAL BREAKFAST FOODS, NEC"
204400,204400,RICE MILLING
204499,204499,"RICE MILLING, NEC"
204500,204500,PREPARED FLOUR MIXES AND DOUGHS
204501,204501,"FLOURS AND FLOUR MIXES, FROM PURCHASED FLOUR"
204502,204502,"DOUGHS AND BATTERS, FROM PURCHASED FLOUR"
204600,204600,WET CORN MILLING
204601,204601,CORN AND OTHER VEGETABLE STARCHES
204602,204602,CORN OIL PRODUCTS
204603,204603,CORN SUGARS AND SYRUPS
204604,204604,CORN MILLING BY-PRODUCTS
204700,204700,DOG AND CAT FOOD
204799,204799,"DOG AND CAT FOOD, NEC"
204800,204800,"PREPARED FEEDS, NEC"
204801,204801,"CEREAL-, GRAIN-, AND SEED-BASED FEEDS"
204802,204802,FEEDS FROM MEAT AND FROM MEAT AND VEGETABLE MEALS
204899,204899,"PREPARED FEEDS, NEC, NEC"
205100,205100,"BREAD, CAKE, AND RELATED PRODUCTS"
205101,205101,"BREADS, ROLLS, AND BUNS"
205102,205102,"CAKES, PIES, AND PASTRIES"
205199,205199,"BREAD, CAKE, AND RELATED PRODUCTS, NEC"
205200,205200,COOKIES AND CRACKERS
205299,205299,"COOKIES AND CRACKERS, NEC"
205300,205300,"FROZEN BAKERY PRODUCTS, EXCEPT BREAD"
205399,205399,"FROZEN BAKERY PRODUCTS, EXCEPT BREAD, NEC"
206100,206100,RAW CANE SUGAR
206101,206101,"DRY CANE SUGAR PRODUCTS, EXCEPT REFINING"
206102,206102,"LIQUID CANE SUGAR PRODUCTS, EXCEPT REFINING"
206200,206200,CANE SUGAR REFINING
206299,206299,"CANE SUGAR REFINING, NEC"
206300,206300,BEET SUGAR
206301,206301,"DRY BEET SUGAR PRODUCTS, EXCEPT REFINING"
206302,206302,"LIQUID BEET SUGAR PRODUCTS, EXCEPT REFINING"
206400,206400,CANDY AND OTHER CONFECTIONERY PRODUCTS
206401,206401,FRUIT AND FRUIT PEEL CONFECTIONS
206499,206499,"CANDY AND OTHER CONFECTIONERY PRODUCTS, NEC"
206600,206600,CHOCOLATE AND COCOA PRODUCTS
206601,206601,CACAO BEAN PROCESSING
206602,206602,COCOA AND COCOA PRODUCTS
206603,206603,CHOCOLATE
206700,206700,CHEWING GUM
206799,206799,"CHEWING GUM, NEC"
206800,206800,SALTED AND ROASTED NUTS AND SEEDS
206899,206899,"SALTED AND ROASTED NUTS AND SEEDS, NEC"
207400,207400,COTTONSEED OIL MILLS
207499,207499,"COTTONSEED OIL MILLS, NEC"
207500,207500,SOYBEAN OIL MILLS
207599,207599,"SOYBEAN OIL MILLS, NEC"
207600,207600,"VEGETABLE OIL MILLS, NEC"
207699,207699,"VEGETABLE OIL MILLS, NEC, NEC"
207700,207700,ANIMAL AND MARINE FATS AND OILS
207701,207701,"ANIMAL FATS, OILS, AND MEALS"
207702,207702,"MARINE FATS, OILS, AND MEALS"
207703,207703,RENDERING
207900,207900,EDIBLE FATS AND OILS
207901,207901,MARGARINE AND MARGARINE OILS
207902,207902,SHORTENING AND OTHER SOLID EDIBLE FATS
207999,207999,"EDIBLE FATS AND OILS, NEC"
208200,208200,MALT BEVERAGES
208201,208201,MALT BEVERAGE PRODUCTS
208299,208299,"MALT BEVERAGES, NEC"
208300,208300,MALT
208399,208399,"MALT, NEC"
208400,208400,"WINES, BRANDY, AND BRANDY SPIRITS"
208401,208401,WINES
208402,208402,BRANDY AND BRANDY SPIRITS
208499,208499,"WINES, BRANDY, AND BRANDY SPIRITS, NEC"
208500,208500,DISTILLED AND BLENDED LIQUORS
208501,208501,"DISTILLER'S DRIED GRAINS AND SOLUBLES, AND ALCOHOL"
208502,208502,CORDIALS AND PREMIXED ALCOHOLIC COCKTAILS
208599,208599,"DISTILLED AND BLENDED LIQUORS, NEC"
208600,208600,BOTTLED AND CANNED SOFT DRINKS
208601,208601,"ICED TEA AND FRUIT DRINKS, BOTTLED AND CANNED"
208602,208602,"PASTEURIZED AND MINERAL WATERS, BOTTLED AND CANNED"
208603,208603,"CARBONATED SOFT DRINKS, BOTTLED AND CANNED"
208700,208700,"FLAVORING EXTRACTS AND SYRUPS, NEC"
208701,208701,FOOD COLORINGS
208702,208702,"BEVERAGE BASES, CONCENTRATES, SYRUPS, POWDERS AND MIXES"
208799,208799,"FLAVORING EXTRACTS AND SYRUPS, NEC, NEC"
209100,209100,CANNED AND CURED FISH AND SEAFOODS
209101,209101,"FISH AND SEAFOOD SOUPS, STEWS, CHOWDERS, CANNED OR PACKAGED"
209102,209102,"SHELLFISH, CANNED AND CURED"
209103,209103,"FISH, CANNED AND CURED"
209199,209199,"CANNED AND CURED FISH AND SEAFOODS, NEC"
209200,209200,FRESH OR FROZEN PACKAGED FISH
209201,209201,"FRESH OR FROZEN FISH OR SEAFOOD CHOWDERS, SOUPS, AND STEWS"
209202,209202,PREPARED FISH OR OTHER SEAFOOD CAKES AND STICKS
209299,209299,"FRESH OR FROZEN PACKAGED FISH, NEC"
209500,209500,ROASTED COFFEE
209599,209599,"ROASTED COFFEE, NEC"
209600,209600,POTATO CHIPS AND SIMILAR SNACKS
209601,209601,POTATO CHIPS AND OTHER POTATO-BASED SNACKS
209602,209602,CORN CHIPS AND OTHER CORN-BASED SNACKS
209699,209699,"POTATO CHIPS AND SIMILAR SNACKS, NEC"
209700,209700,MANUFACTURED ICE
209799,209799,"MANUFACTURED ICE, NEC"
209800,209800,MACARONI AND SPAGHETTI
209899,209899,"MACARONI AND SPAGHETTI, NEC"
209900,209900,"FOOD PREPARATIONS, NEC"
209901,209901,SYRUPS
209902,209902,"BAKING POWDER AND SODA, YEAST, AND OTHER LEAVENING AGENTS"
209903,209903,DESSERT MIXES AND FILLINGS
209904,209904,SEASONINGS AND SPICES
209905,209905,"SAUCE, GRAVY, DRESSING, AND DIP MIXES"
209906,209906,SUGAR
209907,209907,"READY-TO-EAT MEALS, SALADS, AND SANDWICHES"
209908,209908,"PASTA, RICE, AND POTATO, PACKAGED COMBINATION PRODUCTS"
209999,209999,"FOOD PREPARATIONS, NEC, NEC"
211100,211100,CIGARETTES
212100,212100,CIGARS
212199,212199,"CIGARS, NEC"
213100,213100,CHEWING AND SMOKING TOBACCO
213199,213199,"CHEWING AND SMOKING TOBACCO, NEC"
214100,214100,TOBACCO STEMMING AND REDRYING
214199,214199,"TOBACCO STEMMING AND REDRYING, NEC"
221100,221100,"BROADWOVEN FABRIC MILLS, COTTON"
221101,221101,"SHEETS, BEDDING AND TABLE CLOTHS: COTTON"
221102,221102,"APPAREL AND OUTERWEAR FABRICS, COTTON"
221103,221103,"TOWELS, DISHCLOTHS AND WASHCLOTHS: COTTON"
221104,221104,"PLUSHES AND PILES, BROADWOVEN COTTON: INCLUDING FLANNELS"
221105,221105,"TWILLS, DRILLS, DENIMS AND OTHER RIBBED FABRICS: COTTON"
221106,221106,"UPHOLSTERY, TAPESTRY AND WALL COVERINGS: COTTON"
221107,221107,"NETS AND NETTING PRODUCTS AND FABRICS, COTTON"
221108,221108,"SHEERS AND OTHER THIN, LIGHTWEIGHT FABRICS: COTTON"
221109,221109,"BANDAGES, GAUZES AND SURGICAL FABRICS, COTTON"
221110,221110,"LININGS AND INTERLININGS, COTTON"
221111,221111,"CANVAS AND OTHER HEAVY, COARSE FABRICS: COTTON"
221112,221112,"DECORATIVE TRIM AND SPECIALTY FABRICS, INCLUDING TWIST WEAVE"
221113,221113,"CREPES AND OTHER CRINKLED TEXTURE FABRICS, COTTON"
221199,221199,"BROADWOVEN FABRIC MILLS, COTTON, NEC"
222100,222100,"BROADWOVEN FABRIC MILLS, MANMADE"
222101,222101,"BEDDING, MANMADE OR SILK FABRIC"
222102,222102,"APPAREL AND OUTERWEAR FABRIC, MANMADE FIBER OR SILK"
222103,222103,"SILKS, SATINS, TAFFETAS AND CREPES"
222104,222104,MANMADE AND SYNTHETIC BROADWOVEN FABRICS
222105,222105,GLASS AND FIBERGLASS BROADWOVEN FABRICS
222106,222106,"UPHOLSTERY, TAPESTRY, AND WALL COVERING FABRICS"
222107,222107,RIBBED BROADWOVEN FABRICS
222108,222108,"PLUSHES AND PILES, BROADWOVEN FABRICS"
222109,222109,"SPECIALTY BROADWOVEN FABRICS, INCLUDING TWISTED WEAVES"
222199,222199,"BROADWOVEN FABRIC MILLS, MANMADE, NEC"
223100,223100,"BROADWOVEN FABRIC MILLS, WOOL"
223101,223101,APPAREL AND OUTERWEAR BROADWOVEN FABRICS
223102,223102,"BLEACHING, DYING AND SPECIALTY TREATING: WOOL, MOHAIR, ETC."
223103,223103,"FELTS, BLANKETING AND UPHOLSTERY FABRICS: WOOL"
223104,223104,"ANIMAL FIBER FABRICS, EXCEPT WOOL: WOVEN"
223199,223199,"BROADWOVEN FABRIC MILLS, WOOL, NEC"
224100,224100,NARROW FABRIC MILLS
224101,224101,"LACE AND DECORATIVE TRIM, NARROW FABRIC"
224102,224102,RUBBER AND ELASTIC YARNS AND FABRICS
224103,224103,FABRIC TAPES
224104,224104,"WEBBING, BRAIDS AND BELTING"
224199,224199,"NARROW FABRIC MILLS, NEC"
225100,225100,"WOMEN'S HOSIERY, EXCEPT SOCKS"
225199,225199,"WOMEN'S HOSIERY, EXCEPT SOCKS, NEC"
225200,225200,"HOSIERY, NEC"
225201,225201,ANKLETS AND SOCKS
225202,225202,TIGHTS AND LEG WARMERS
225299,225299,"HOSIERY, NEC, NEC"
225300,225300,KNIT OUTERWEAR MILLS
225301,225301,"WARM WEATHER KNIT OUTERWEAR, INCLUDING BEACHWEAR"
225302,225302,COLD WEATHER KNIT OUTERWEAR INCLUDING SKI WEAR
225303,225303,"LOUNGE, BED, AND LEISUREWEAR"
225304,225304,DRESSES AND SKIRTS
225305,225305,"BLOUSES, SHIRTS, PANTS, AND SUITS"
225399,225399,"KNIT OUTERWEAR MILLS, NEC"
225400,225400,KNIT UNDERWEAR MILLS
225401,225401,"SHORTS, SHIRTS, SLIPS, AND PANTIES (UNDERWEAR): KNIT"
225499,225499,"KNIT UNDERWEAR MILLS, NEC"
225700,225700,WEFT KNIT FABRIC MILLS
225799,225799,"WEFT KNIT FABRIC MILLS, NEC"
225800,225800,LACE AND WARP KNIT FABRIC MILLS
225801,225801,LACE AND LACE PRODUCTS
225802,225802,WARP AND FLAT KNIT PRODUCTS
225803,225803,NET AND NETTING PRODUCTS
225899,225899,"LACE AND WARP KNIT FABRIC MILLS, NEC"
225900,225900,"KNITTING MILLS, NEC"
225901,225901,"GLOVES AND MITTENS, KNIT"
225902,225902,"TOWELS, WASHCLOTHS, AND DISHCLOTHS: KNIT"
225903,225903,"CURTAINS AND BEDDING, KNIT"
225904,225904,"GIRDLES AND GIRDLE BLANKS, KNIT"
225999,225999,"KNITTING MILLS, NEC, NEC"
226100,226100,"FINISHING PLANTS, COTTON"
226101,226101,PRINTING OF COTTON BROADWOVEN FABRICS
226102,226102,CHEMICAL COATING OR TREATING OF COTTON BROADWOVEN FABRICS
226103,226103,DECORATIVE FINISHING OF COTTON BROADWOVEN FABRICS
226199,226199,"FINISHING PLANTS, COTTON, NEC"
226200,226200,"FINISHING PLANTS, MANMADE"
226201,226201,"PRINTING, MANMADE FIBER AND SILK BROADWOVEN FABRICS"
226202,226202,CHEMICAL COATING OR TREATING OF MANMADE BROADWOVEN FABRICS
226203,226203,DECORATIVE FINISHING OF MANMADE BROADWOVEN FABRICS
226299,226299,"FINISHING PLANTS, MANMADE, NEC"
226900,226900,"FINISHING PLANTS, NEC"
226901,226901,PRINTING OF NARROW FABRICS
226902,226902,CHEMICAL COATING OR TREATING OF NARROW FABRICS
226903,226903,DECORATIVE FINISHING OF NARROW FABRICS
226999,226999,"FINISHING PLANTS, NEC, NEC"
227300,227300,CARPETS AND RUGS
227301,227301,AIRCRAFT AND AUTOMOBILE FLOOR COVERINGS
227302,227302,MATS AND MATTING
227303,227303,ART SQUARES
227304,227304,"CARPETS, HAND AND MACHINE MADE"
227305,227305,"RUGS, HAND AND MACHINE MADE"
227399,227399,"CARPETS AND RUGS, NEC"
228100,228100,YARN SPINNING MILLS
228101,228101,"NEEDLE AND HANDICRAFT YARNS, SPUN"
228102,228102,"MANMADE AND SYNTHETIC FIBER YARNS, SPUN"
228103,228103,"NATURAL AND ANIMAL FIBER YARNS, SPUN"
228104,228104,"CARPET AND RUG YARN, SPUN"
228199,228199,"YARN SPINNING MILLS, NEC"
228200,228200,THROWING AND WINDING MILLS
228201,228201,"NEEDLE AND HANDICRAFT YARNS, TWISTING, WINDING, OR SPOOLING"
228202,228202,"MANMADE AND SYNTHETIC FIBER YARNS, TWISTING, WINDING, ETC."
228203,228203,"NATURAL AND ANIMAL FIBER YARNS: TWISTING, WINDING, SPOOLING"
228204,228204,"CARPET AND RUG YARN: TWISTING, WINDING, OR SPOOLING"
228299,228299,"THROWING AND WINDING MILLS, NEC"
228400,228400,THREAD MILLS
228401,228401,THREAD FROM MANMADE FIBERS
228402,228402,THREAD FROM NATURAL FIBERS
228403,228403,NEEDLE AND HANDICRAFT THREAD
228499,228499,"THREAD MILLS, NEC"
229500,229500,"COATED FABRICS, NOT RUBBERIZED"
229501,229501,CHEMICALLY COATED AND TREATED FABRICS
229502,229502,PLASTIC COATED YARNS OR FABRICS
229503,229503,VARNISHED GLASS AND COATED FIBERGLASS FABRICS
229599,229599,"COATED FABRICS, NOT RUBBERIZED, NEC"
229600,229600,TIRE CORD AND FABRICS
229601,229601,CORD AND FABRIC FOR REINFORCING RUBBER TIRES
229602,229602,CORD AND FABRIC FOR REINFORCING INDUSTRIAL BELTING
229603,229603,CORD AND FABRIC FOR REINFORCING FUEL CELLS
229700,229700,NONWOVEN FABRICS
229799,229799,"NONWOVEN FABRICS, NEC"
229800,229800,CORDAGE AND TWINE
229801,229801,ROPES AND FIBER CABLES
229802,229802,"TWINE, CORD AND CORDAGE"
229803,229803,"NETS, SEINES, SLINGS AND INSULATOR PADS"
229899,229899,"CORDAGE AND TWINE, NEC"
229900,229900,"TEXTILE GOODS, NEC"
229901,229901,"BATTING, WADDING, PADDING AND FILLINGS"
229902,229902,FELTS AND FELT PRODUCTS
229903,229903,"YARNS AND THREAD, MADE FROM NON-FABRIC MATERIALS"
229904,229904,TEXTILE MILL WASTE AND REMNANT PROCESSING
229905,229905,JUTE AND FLAX TEXTILE PRODUCTS
229906,229906,SCOURING AND CARBONIZING OF TEXTILE FIBERS
229907,229907,"TOPS AND TOP PROCESSING, MANMADE OR OTHER FIBER"
229999,229999,"TEXTILE GOODS, NEC, NEC"
231100,231100,MEN'S AND BOY'S SUITS AND COATS
231101,231101,TAILORED SUITS AND FORMAL JACKETS
231102,231102,"COATS, OVERCOATS AND VESTS"
231103,231103,MEN'S AND BOYS' UNIFORMS
232100,232100,MEN'S AND BOY'S FURNISHINGS
232101,232101,MEN'S AND BOYS' DRESS SHIRTS
232102,232102,MEN'S AND BOYS' SPORTS AND POLO SHIRTS
232199,232199,"MEN'S AND BOY'S FURNISHINGS, NEC"
232200,232200,MEN'S AND BOY'S UNDERWEAR AND NIGHTWEAR
232299,232299,"MEN'S AND BOY'S UNDERWEAR AND NIGHTWEAR, NEC"
232300,232300,MEN'S AND BOY'S NECKWEAR
232301,232301,MEN'S AND BOYS' NECKTIES AND BOW TIES
232302,232302,MEN'S AND BOYS' SCARVES
232500,232500,MEN'S AND BOY'S TROUSERS AND SLACKS
232501,232501,MEN'S AND BOYS' JEANS AND DUNGAREES
232502,232502,MEN'S AND BOYS' DRESS SLACKS AND SHORTS
232600,232600,MEN'S AND BOY'S WORK CLOTHING
232601,232601,WORK UNIFORMS
232602,232602,"WORK APPAREL, EXCEPT UNIFORMS"
232900,232900,"MEN'S AND BOY'S CLOTHING, NEC"
232901,232901,MEN'S AND BOYS' SPORTSWEAR AND ATHLETIC CLOTHING
232902,232902,"MEN'S AND BOYS' LEATHER, WOOL AND DOWN-FILLED OUTERWEAR"
232903,232903,MEN'S AND BOYS' ATHLETIC UNIFORMS
232999,232999,"MEN'S AND BOY'S CLOTHING, NEC, NEC"
233100,233100,WOMEN'S AND MISSES' BLOUSES AND SHIRTS
233199,233199,"WOMEN'S AND MISSES' BLOUSES AND SHIRTS, NEC"
233500,233500,"WOMEN'S, JUNIOR'S, AND MISSES' DRESSES"
233501,233501,BRIDAL AND FORMAL GOWNS
233599,233599,"WOMEN'S, JUNIOR'S, AND MISSES' DRESSES, NEC"
233700,233700,WOMEN'S AND MISSES' SUITS AND COATS
233701,233701,WOMEN'S AND MISSES' SUITS AND SKIRTS
233702,233702,WOMEN'S AND MISSES' CAPES AND JACKETS
233799,233799,"WOMEN'S AND MISSES' SUITS AND COATS, NEC"
233900,233900,"WOMEN'S AND MISSES' OUTERWEAR, NEC"
233901,233901,WOMEN'S AND MISSES' ACCESSORIES
233902,233902,"WOMEN'S AND MISSES' CULOTTES, KNICKERS AND SHORTS"
233903,233903,WOMEN'S AND MISSES' ATHLETIC CLOTHING AND SPORTSWEAR
233904,233904,"WOMEN'S AND MISSES' JACKETS AND COATS, EXCEPT SPORTSWEAR"
233999,233999,"WOMEN'S AND MISSES' OUTERWEAR, NEC, NEC"
234100,234100,WOMEN'S AND CHILDREN'S UNDERWEAR
234101,234101,WOMEN'S AND CHILDREN'S NIGHTWEAR
234102,234102,WOMEN'S AND CHILDREN'S UNDERGARMENTS
234200,234200,"BRAS, GIRDLES, AND ALLIED GARMENTS"
234299,234299,"BRAS, GIRDLES, AND ALLIED GARMENTS, NEC"
235300,235300,"HATS, CAPS, AND MILLINERY"
235301,235301,UNIFORM HATS AND CAPS
235399,235399,"HATS, CAPS, AND MILLINERY, NEC"
236100,236100,"GIRL'S AND CHILDREN'S DRESSES, BLOUSES"
236101,236101,GIRLS' AND CHILDREN'S BLOUSES AND SHIRTS
236199,236199,"GIRL'S AND CHILDREN'S DRESSES, BLOUSES, NEC"
236900,236900,"GIRL'S AND CHILDREN'S OUTERWEAR, NEC"
236901,236901,CHILDREN'S CULOTTES AND SHORTS
236902,236902,CHILDREN'S BATHING SUITS AND BEACHWEAR
236903,236903,CHILDREN'S ROBES AND HOUSECOATS
236904,236904,"CHILDREN'S SNOWSUITS, COATS, AND JACKETS"
236999,236999,"GIRL'S AND CHILDREN'S OUTERWEAR, NEC, NEC"
237100,237100,FUR GOODS
237101,237101,FUR COATS AND OTHER FUR APPAREL
237102,237102,"FUR LININGS, TRIMMINGS, AND NECKPIECES"
237199,237199,"FUR GOODS, NEC"
238100,238100,FABRIC DRESS AND WORK GLOVES
238199,238199,"FABRIC DRESS AND WORK GLOVES, NEC"
238400,238400,ROBES AND DRESSING GOWNS
238499,238499,"ROBES AND DRESSING GOWNS, NEC"
238500,238500,WATERPROOF OUTERWEAR
238599,238599,"WATERPROOF OUTERWEAR, NEC"
238600,238600,LEATHER AND SHEEP-LINED CLOTHING
238601,238601,LEATHER AND SHEEP-LINED COATS AND HATS
238602,238602,LEATHER AND SHEEP-LINED GARMENTS
238700,238700,APPAREL BELTS
238900,238900,"APPAREL AND ACCESSORIES, NEC"
238901,238901,MEN'S MISCELLANEOUS ACCESSORIES
238902,238902,UNIFORMS AND VESTMENTS
238903,238903,COSTUMES
238999,238999,"APPAREL AND ACCESSORIES, NEC, NEC"
239100,239100,CURTAINS AND DRAPERIES
239199,239199,"CURTAINS AND DRAPERIES, NEC"
239200,239200,"HOUSEHOLD FURNISHINGS, NEC"
239201,239201,CUSHIONS AND PILLOWS
239202,239202,"LAUNDRY, GARMENT AND STORAGE BAGS"
239203,239203,"BLANKETS, COMFORTERS AND BEDDINGS"
239204,239204,TABLECLOTHS AND TABLE SETTINGS
239205,239205,"TOWELS, DISHCLOTHS AND DUST CLOTHS"
239206,239206,SLIP COVERS AND PADS
239299,239299,"HOUSEHOLD FURNISHINGS, NEC, NEC"
239300,239300,TEXTILE BAGS
239301,239301,CANVAS BAGS
239399,239399,"TEXTILE BAGS, NEC"
239400,239400,CANVAS AND RELATED PRODUCTS
239401,239401,CANVAS AWNINGS AND CANOPIES
239402,239402,CANVAS COVERS AND DROP CLOTHS
239499,239499,"CANVAS AND RELATED PRODUCTS, NEC"
239500,239500,PLEATING AND STITCHING
239501,239501,QUILTING AND QUILTING SUPPLIES
239502,239502,EMBROIDERY AND ART NEEDLEWORK
239503,239503,DECORATIVE AND NOVELTY STITCHING: FOR THE TRADE
239504,239504,PLEATING AND TUCKING: FOR THE TRADE
239599,239599,"PLEATING AND STITCHING, NEC"
239600,239600,AUTOMOTIVE AND APPAREL TRIMMINGS
239601,239601,"APPAREL AND OTHER LININGS, EXCEPT MILLINERY"
239602,239602,APPAREL FINDINGS AND TRIMMINGS
239603,239603,MILLINERY MATERIALS AND SUPPLIES
239604,239604,FABRIC PRINTING AND STAMPING
239699,239699,"AUTOMOTIVE AND APPAREL TRIMMINGS, NEC"
239700,239700,SCHIFFLI MACHINE EMBROIDERIES
239900,239900,"FABRICATED TEXTILE PRODUCTS, NEC"
239901,239901,"EMBLEMS, BADGES, AND INSIGNIA"
239902,239902,"HORSE AND PET ACCESSORIES, TEXTILE"
239903,239903,"BANNERS, PENNANTS, AND FLAGS"
239904,239904,BELTING AND BELT PRODUCTS
239905,239905,HAND WOVEN AND CROCHETED PRODUCTS
239906,239906,HAMMOCKS AND OTHER NET PRODUCTS
239999,239999,"FABRICATED TEXTILE PRODUCTS, NEC, NEC"
241100,241100,LOGGING
241101,241101,"WOODEN BOLTS, HEWN"
241102,241102,"POLES, POSTS, AND PILINGS: UNTREATED WOOD"
241103,241103,WOODEN LOGS
241199,241199,"LOGGING, NEC"
242100,242100,"SAWMILLS AND PLANING MILLS, GENERAL"
242101,242101,"BUILDING AND STRUCTURAL MATERIALS, WOOD"
242102,242102,"SAWDUST, SHAVINGS, AND WOOD CHIPS"
242103,242103,SPECIALTY SAWMILL PRODUCTS
242104,242104,OUTDOOR WOOD STRUCTURAL PRODUCTS
242199,242199,"SAWMILLS AND PLANING MILLS, GENERAL, NEC"
