icd_mapping_id,description,fdn_icd10,fdn_icd9
31235-F638,Isolated explosive disorder,F638,312.35
31281-F919,"Conduct disorder, childhood onset type",F919,312.81
31282-F918,"Conduct disorder, adolescent onset type",F918,312.82
31289-F918,Other conduct disorder,F918,312.89
3129-F919,Unspecified disturbance of conduct,F919,312.9
3131-F938,Misery and unhappiness disorder,F938,313.1
31321-F948,Shyness disorder of childhood,F948,313.21
31322-F948,Introverted disorder of childhood,F948,313.22
31323-F940,Selective mutism,F940,313.23
31381-F938,Oppositional defiant disorder,F938,313.81
31382-F938,Identity disorder,F938,313.82
31383-F938,Academic underachievement disorder,F938,313.83
31389-F938,Other,F938,313.89
3139-F939,Unspecified emotional disturbance of childhood or adolescence,F939,313.9
31401-F900,With hyperactivity,F900,314.01
3141-F908,Hyperkinesis with developmental delay,F908,314.1
3142-F901,Hyperkinetic conduct disorder,F901,314.2
3148-F908,Other specified manifestations of hyperkinetic syndrome,F908,314.8
3149-F909,Unspecified hyperkinetic syndrome,F909,314.9
31501-F810,Alexia,F810,315.01
31502-F810,Developmental dyslexia,F810,315.02
3151-F812,Mathematics disorder,F812,315.1
3152-F818,Other specific learning difficulties,F818,315.2
31531-F802,Expressive language disorder,F802,315.31
31539-F808,Other,F808,315.39
3154-F82,Developmental coordination disorder,F82,315.4
3158-F88,Other specified delays in development,F88,315.8
3159-F89,Unspecified delay in development,F89,315.9
316-F54,Psychic factors associated with diseases classified elsewhere,F54,316
3201-G001,Pneumococcal meningitis,G001,320.1
3202-G002,Streptococcal meningitis,G002,320.2
3203-G003,Staphylococcal meningitis,G003,320.3
3207-G001,Meningitis in other bacterial diseases classified elsewhere,G001,320.7
32081-G008,Anaerobic meningitis,G008,320.81
32082-G009,"Meningitis due to gram-negative bacteria, not elsewhere classified",G009,320.82
32089-G008,Meningitis due to other specified bacteria,G008,320.89
3209-G009,Meningitis due to unspecified bacterium,G009,320.9
3222-G031,Chronic meningitis,G031,322.2
3229-G039,"Meningitis, unspecified",G039,322.9
3235-G040,"Encephalitis, myelitis, and encephalomyelitis following immunization procedures",G040,323.5
3236-G048,"Postinfectious encephalitis, myelitis, and encephalomyelitis",G048,323.6
3237-G92,"Toxic encephalitis, myelitis, and encephalomyelitis",G92,323.7
3238-G048,"Other causes of encephalitis, myelitis, and encephalomyelitis",G048,323.8
3239-G049,"Unspecified cause of encephalitis, myelitis, and encephalomyelitis",G049,323.9
3241-G061,Intraspinal abscess,G061,324.1
3249-G062,Of unspecified site,G062,324.9
325-G08,Phlebitis and thrombophlebitis of intracranial venous sinuses,G08,325
326-G09,Late effects of intracranial abscess or pyogenic infection,G09,326
3301-E754,Cerebral lipidoses,E754,330.1
3302-G328,Cerebral degeneration in generalized lipidoses,G328,330.2
3309-G319,Unspecified cerebral degeneration in childhood,G319,330.9
3311-G310,Frontotemporal dementia,G310,331.1
3312-G311,Senile degeneration of brain,G311,331.2
3313-G910,Communicating hydrocephalus,G910,331.3
3314-G911,Obstructive hydrocephalus,G911,331.4
33181-G937,Reye's syndrome,G937,331.81
3319-G319,"Cerebral degeneration, unspecified",G319,331.9
3331-G250,Essential and other specified forms of tremor,G250,333.1
3332-G253,Myoclonus,G253,333.2
3333-G256,Tics of organic origin,G256,333.3
3334-G10,Huntington's chorea,G10,333.4
3335-G255,Other choreas,G255,333.5
3336-G241,Genetic torsion dystonia,G241,333.6
3337-G242,Acquired torsion dystonia,G242,333.7
33381-G245,Blepharospasm,G245,333.81
33382-G244,Orofacial dyskinesia,G244,333.82
33383-G243,Spasmodic torticollis,G243,333.83
33384-G258,Organic writers' cramp,G258,333.84
33389-G248,Other,G248,333.89
33391-G258,Stiff-man syndrome,G258,333.91
33392-G210,Neuroleptic malignant syndrome,G210,333.92
33393-G258,Benign shuddering attacks,G258,333.93
33399-G258,Other,G258,333.99
3341-G114,Hereditary spastic paraplegia,G114,334.1
3342-G119,Primary cerebellar degeneration,G119,334.2
3343-G119,Other cerebellar ataxia,G119,334.3
3344-G119,Cerebellar ataxia in diseases classified elsewhere,G119,334.4
3348-G118,Other spinocerebellar diseases,G118,334.8
3349-G119,"Spinocerebellar disease, unspecified",G119,334.9
33511-G121,Kugelberg-Welander disease,G121,335.11
33519-G128,Other,G128,335.19
33521-G122,Progressive muscular atrophy,G122,335.21
33522-G122,Progressive bulbar palsy,G122,335.22
33523-G122,Pseudobulbar palsy,G122,335.23
33524-G122,Primary lateral sclerosis,G122,335.24
33529-G122,Other,G122,335.29
3358-G122,Other anterior horn cell diseases,G122,335.8
3359-G122,"Anterior horn cell disease, unspecified",G122,335.9
3361-G951,Vascular myelopathies,G951,336.1
3362-G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere,G320,336.2
3363-G992,Myelopathy in other diseases classified elsewhere,G992,336.3
3368-G958,Other myelopathy,G958,336.8
3369-G959,Unspecified disease of spinal cord,G959,336.9
3371-G990,Peripheral autonomic neuropathy in disorders classified elsewhere,G990,337.1
33721-M8901,Reflex sympathetic dystrophy of the upper limb,M8901,337.21
33722-M8905,Reflex sympathetic dystrophy of the lower limb,M8905,337.22
33729-M8908,Reflex sympathetic dystrophy of other specified site,M8908,337.29
3373-G908,Autonomic dysreflexia,G908,337.3
3379-G909,Unspecified disorder of autonomic nervous system,G909,337.9
340-G35,Multiple sclerosis,G35,340
3411-G370,Schilder's disease,G370,341.1
3418-G378,Other demyelinating diseases of central nervous system,G378,341.8
3419-G379,"Demyelinating disease of central nervous system, unspecified",G379,341.9
3431-G802,Hemiplegic,G802,343.1
3432-G808,Quadriplegic,G808,343.2
3433-G808,Monoplegic,G808,343.3
3434-G802,Infantile hemiplegia,G802,343.4
3438-G808,Other specified infantile cerebral palsy,G808,343.8
3439-G809,"Infantile cerebral palsy, unspecified",G809,343.9
34401-G8251,"C 1 -C 4 , complete",G8251,344.01
34403-G8251,"C 5 -C 7 , complete",G8251,344.03
34409-G8250,Other,G8250,344.09
3442-G830,Diplegia of upper limbs,G830,344.2
34431-G831,Affecting dominant side,G831,344.31
34432-G831,Affecting nondominant side,G831,344.32
34441-G832,Affecting dominant side,G832,344.41
34442-G832,Affecting nondominant side,G832,344.42
3445-G833,Unspecified monoplegia,G833,344.5
34461-N319,With neurogenic bladder,N319,344.61
34481-G838,Locked-in state,G838,344.81
34489-G838,Other specified paralytic syndrome,G838,344.89
3449-G839,"Paralysis, unspecified",G839,344.9
347-G474,Cataplexy and narcolepsy,G474,347
3481-G931,Anoxic brain damage,G931,348.1
3482-G932,Benign intracranial hypertension,G932,348.2
3483-G934,"Encephalopathy, not elsewhere classified",G934,348.3
3484-G935,Compression of brain,G935,348.4
3485-G936,Cerebral edema,G936,348.5
3488-G938,Other conditions of brain,G938,348.8
3489-G939,Unspecified condition of brain,G939,348.9
3491-G971,Nervous system complications from surgically implanted device,G971,349.1
3492-G961,"Disorders of meninges, not elsewhere classified",G961,349.2
34981-G960,Cerebrospinal fluid rhinorrhea,G960,349.81
34982-G92,Toxic encephalopathy,G92,349.82
34989-G968,Other,G968,349.89
3499-G969,Unspecified disorders of nervous system,G969,349.9
3501-G500,Trigeminal neuralgia,G500,350.1
3502-G501,Atypical face pain,G501,350.2
3508-G508,Other specified trigeminal nerve disorders,G508,350.8
3509-G509,"Trigeminal nerve disorder, unspecified",G509,350.9
3511-G511,Geniculate ganglionitis,G511,351.1
3518-G518,Other facial nerve disorders,G518,351.8
3519-G519,"Facial nerve disorder, unspecified",G519,351.9
3521-G521,Glossopharyngeal neuralgia,G521,352.1
3522-G521,Other disorders of glossopharyngeal [9th] nerve,G521,352.2
3523-G522,Disorders of pneumogastric [10th] nerve,G522,352.3
3524-G528,Disorders of accessory [11th] nerve,G528,352.4
3525-G523,Disorders of hypoglossal [12th] nerve,G523,352.5
3526-G527,Multiple cranial nerve palsies,G527,352.6
3529-G529,Unspecified disorder of cranial nerves,G529,352.9
3531-G541,Lumbosacral plexus lesions,G541,353.1
3533-G543,"Thoracic root lesions, not elsewhere classified",G543,353.3
3534-G544,"Lumbosacral root lesions, not elsewhere classified",G544,353.4
3535-G545,Neuralgic amyotrophy,G545,353.5
3536-G547,Phantom limb (syndrome),G547,353.6
3538-G548,Other nerve root and plexus disorders,G548,353.8
3539-G549,Unspecified nerve root and plexus disorder,G549,353.9
3541-G561,Other lesion of median nerve,G561,354.1
3542-G562,Lesion of ulnar nerve,G562,354.2
3543-G563,Lesion of radial nerve,G563,354.3
3544-G564,Causalgia of upper limb,G564,354.4
3545-G587,Mononeuritis multiplex,G587,354.5
3548-G568,Other mononeuritis of upper limb,G568,354.8
3549-G569,"Mononeuritis of upper limb, unspecified",G569,354.9
3551-G571,Meralgia paresthetica,G571,355.1
3552-G572,Other lesion of femoral nerve,G572,355.2
3553-G573,Lesion of lateral popliteal nerve,G573,355.3
3554-G574,Lesion of medial popliteal nerve,G574,355.4
3555-G575,Tarsal tunnel syndrome,G575,355.5
3556-G576,Lesion of plantar nerve,G576,355.6
35571-G578,Causalgia of lower limb,G578,355.71
35579-G578,Other mononeuritis of lower limb,G578,355.79
3558-G578,"Mononeuritis of lower limb, unspecified",G578,355.8
3559-G589,Mononeuritis of unspecified site,G589,355.9
3561-G600,Peroneal muscular atrophy,G600,356.1
3562-G608,Hereditary sensory neuropathy,G608,356.2
3563-G601,Refsum's disease,G601,356.3
3564-G603,Idiopathic progressive polyneuropathy,G603,356.4
3568-G608,Other specified idiopathic peripheral neuropathy,G608,356.8
3569-G609,Unspecified,G609,356.9
3575-G621,Alcoholic polyneuropathy,G621,357.5
3576-G620,Polyneuropathy due to drugs,G620,357.6
3577-G622,Polyneuropathy due to other toxic agents,G622,357.7
3578-G628,Other,G628,357.8
3579-G629,Unspecified,G629,357.9
3581-G733,Myasthenic syndromes in diseases classified elsewhere,G733,358.1
3582-G701,Toxic myoneural disorders,G701,358.2
3588-G708,Other specified myoneural disorders,G708,358.8
3589-G709,"Myoneural disorders, unspecified",G709,358.9
3591-G710,Hereditary progressive muscular dystrophy,G710,359.1
3592-G711,Myotonic disorders,G711,359.2
3593-G723,Periodic paralysis,G723,359.3
3594-G722,Toxic myopathy,G722,359.4
3596-G737,Symptomatic inflammatory myopathy in diseases classified elsewhere,G737,359.6
3598-G728,Other myopathies,G728,359.8
3599-G729,"Myopathy, unspecified",G729,359.9
36001-H440,Acute endophthalmitis,H440,360.01
36002-H440,Panophthalmitis,H440,360.02
36003-H440,Chronic endophthalmitis,H440,360.03
36004-H440,Vitreous abscess,H440,360.04
36011-H441,Sympathetic uveitis,H441,360.11
36012-H441,Panuveitis,H441,360.12
36013-H441,Parasitic endophthalmitis NOS,H441,360.13
36014-H162,Ophthalmia nodosa,H162,360.14
36019-H441,Other,H441,360.19
36021-H442,Progressive high (degenerative) myopia,H442,360.21
36023-H443,Siderosis,H443,360.23
36024-H443,Other metallosis,H443,360.24
36029-H443,Other,H443,360.29
36031-H444,Primary hypotony,H444,360.31
36032-H444,Ocular fistula causing hypotony,H444,360.32
36033-H444,Hypotony associated with other ocular disorders,H444,360.33
36034-H444,Flat anterior chamber,H444,360.34
36041-H445,Blind hypotensive eye,H445,360.41
36042-H445,Blind hypertensive eye,H445,360.42
36043-H578,"Hemophthalmos, except current injury",H578,360.43
36044-H445,Leucocoria,H445,360.44
36051-H446,"Foreign body, magnetic, in anterior chamber",H446,360.51
36052-H446,"Foreign body, magnetic, in iris or ciliary body",H446,360.52
36053-H446,"Foreign body, magnetic, in lens",H446,360.53
36054-H446,"Foreign body, magnetic, in vitreous",H446,360.54
36055-H446,"Foreign body, magnetic, in posterior wall",H446,360.55
36059-H446,"Foreign body, magnetic, in other or multiple sites",H446,360.59
36061-H447,Foreign body in anterior chamber,H447,360.61
36062-H447,Foreign body in iris or ciliary body,H447,360.62
36063-H447,Foreign body in lens,H447,360.63
36064-H447,Foreign body in vitreous,H447,360.64
36065-H447,Foreign body in posterior wall,H447,360.65
36069-H447,Foreign body in other or multiple sites,H447,360.69
36081-H448,Luxation of globe,H448,360.81
36089-H448,Other,H448,360.89
3609-H449,Unspecified disorder of globe,H449,360.9
36101-H330,"Recent detachment, partial, with single defect",H330,361.01
36102-H330,"Recent detachment, partial, with multiple defects",H330,361.02
36103-H330,"Recent detachment, partial, with giant tear",H330,361.03
36104-H330,"Recent detachment, partial, with retinal dialysis",H330,361.04
36105-H330,"Recent detachment, total or subtotal",H330,361.05
36106-H330,"Old detachment, partial",H330,361.06
36107-H330,"Old detachment, total or subtotal",H330,361.07
36111-H331,Flat retinoschisis,H331,361.11
36112-H331,Bullous retinoschisis,H331,361.12
36113-H331,Primary retinal cysts,H331,361.13
36114-H331,Secondary retinal cysts,H331,361.14
36119-H331,Other,H331,361.19
3612-H332,Serous retinal detachment,H332,361.2
36131-H333,Round hole of retina without detachment,H333,361.31
36132-H333,Horseshoe tear of retina without detachment,H333,361.32
36133-H333,Multiple defects of retina without detachment,H333,361.33
36181-H334,Traction detachment of retina,H334,361.81
3619-H332,Unspecified retinal detachment,H332,361.9
36211-H350,Hypertensive retinopathy,H350,362.11
36212-H350,Exudative retinopathy,H350,362.12
36213-H350,Changes in vascular appearance,H350,362.13
36214-H350,Retinal microaneurysms NOS,H350,362.14
36215-H350,Retinal telangiectasia,H350,362.15
36216-H350,Retinal neovascularization NOS,H350,362.16
36217-H350,Other intraretinal microvascular abnormalities,H350,362.17
36218-H350,Retinal vasculitis,H350,362.18
36221-H351,Retrolental fibroplasia,H351,362.21
36229-H352,Other nondiabetic proliferative retinopathy,H352,362.29
36231-H341,Central retinal artery occlusion,H341,362.31
36232-H342,Arterial branch occlusion,H342,362.32
36233-H342,Partial arterial occlusion,H342,362.33
36234-H340,Transient arterial occlusion,H340,362.34
36235-H348,Central retinal vein occlusion,H348,362.35
36236-H348,Venous tributary (branch) occlusion,H348,362.36
36237-H348,Venous engorgement,H348,362.37
36241-H357,Central serous retinopathy,H357,362.41
36242-H357,Serous detachment of retinal pigment epithelium,H357,362.42
36243-H357,Hemorrhagic detachment of retinal pigment epithelium,H357,362.43
36251-H353,Nonexudative senile macular degeneration,H353,362.51
36252-H353,Exudative senile macular degeneration,H353,362.52
36253-H353,Cystoid macular degeneration,H353,362.53
36254-H353,"Macular cyst, hole, or pseudohole",H353,362.54
36255-H353,Toxic maculopathy,H353,362.55
36256-H353,Macular puckering,H353,362.56
36257-H353,Drusen (degenerative),H353,362.57
36261-H354,Paving stone degeneration,H354,362.61
36262-H354,Microcystoid degeneration,H354,362.62
36263-H354,Lattice degeneration,H354,362.63
36264-H354,Senile reticular degeneration,H354,362.64
36265-H354,Secondary pigmentary degeneration,H354,362.65
36266-H354,Secondary vitreoretinal degenerations,H354,362.66
36273-H355,Vitreoretinal dystrophies,H355,362.73
36274-H355,Pigmentary retinal dystrophy,H355,362.74
36275-H355,Other dystrophies primarily involving the sensory retina,H355,362.75
36276-H355,Dystrophies primarily involving the retinal pigment epithelium,H355,362.76
36277-H355,Dystrophies primarily involving Bruch's membrane,H355,362.77
36281-H356,Retinal hemorrhage,H356,362.81
36282-H358,Retinal exudates and deposits,H358,362.82
36283-H358,Retinal edema,H358,362.83
36284-H342,Retinal ischemia,H342,362.84
36285-H358,Retinal nerve fiber bundle defects,H358,362.85
36289-H358,Other retinal disorders,H358,362.89
3629-H359,Unspecified retinal disorder,H359,362.9
36301-H300,"Focal choroiditis and chorioretinitis, juxtapapillary",H300,363.01
36303-H300,Focal choroiditis and chorioretinitis of other posterior pole,H300,363.03
37642-H053,Exostosis of orbit,H053,376.42
36304-H300,"Focal choroiditis and chorioretinitis, peripheral",H300,363.04
36305-H300,"Focal retinitis and retinochoroiditis, juxtapapillary",H300,363.05
36306-H300,"Focal retinitis and retinochoroiditis, macular or paramacular",H300,363.06
36307-H300,Focal retinitis and retinochoroiditis of other posterior pole,H300,363.07
36308-H300,"Focal retinitis and retinochoroiditis, peripheral",H300,363.08
36311-H301,"Disseminated choroiditis and chorioretinitis, posterior pole",H301,363.11
36312-H301,"Disseminated choroiditis and chorioretinitis, peripheral",H301,363.12
36313-H301,"Disseminated choroiditis and chorioretinitis, generalized",H301,363.13
36314-H301,"Disseminated retinitis and retinochoroiditis, metastatic",H301,363.14
36315-H301,"Disseminated retinitis and retinochoroiditis, pigment epitheliopathy",H301,363.15
36321-H302,Pars planitis,H302,363.21
36322-H308,Harada's disease,H308,363.22
36331-H310,Solar retinopathy,H310,363.31
36332-H310,Other macular scars,H310,363.32
36333-H310,Other scars of posterior pole,H310,363.33
36334-H310,Peripheral scars,H310,363.34
36335-H310,Disseminated scars,H310,363.35
36341-H311,Senile atrophy of choroid,H311,363.41
36342-H311,Diffuse secondary atrophy of choroid,H311,363.42
36343-H353,Angioid streaks of choroid,H353,363.43
36351-H312,"Circumpapillary dystrophy of choroid, partial",H312,363.51
36352-H312,"Circumpapillary dystrophy of choroid, total",H312,363.52
36353-H312,"Central dystrophy of choroid, partial",H312,363.53
36354-H312,"Central choroidal atrophy, total",H312,363.54
36355-H312,Choroideremia,H312,363.55
36356-H312,"Other diffuse or generalized dystrophy, partial",H312,363.56
36357-H312,"Other diffuse or generalized dystrophy, total",H312,363.57
36361-H313,"Choroidal hemorrhage, unspecified",H313,363.61
36362-H313,Expulsive choroidal hemorrhage,H313,363.62
36363-H313,Choroidal rupture,H313,363.63
36371-H314,Serous choroidal detachment,H314,363.71
36372-H314,Hemorrhagic choroidal detachment,H314,363.72
3638-H318,Other disorders of choroid,H318,363.8
3639-H319,Unspecified disorder of choroid,H319,363.9
36401-H200,Primary iridocyclitis,H200,364.01
36402-H200,Recurrent iridocyclitis,H200,364.02
36403-H200,"Secondary iridocyclitis, infectious",H200,364.03
36404-H200,"Secondary iridocyclitis, noninfectious",H200,364.04
36405-H200,Hypopyon,H200,364.05
36411-H201,Chronic iridocyclitis in diseases classified elsewhere,H201,364.11
36421-H208,Fuchs' heterochromic cyclitis,H208,364.21
36422-H404,Glaucomatocyclitic crises,H404,364.22
36423-H202,Lens-induced iridocyclitis,H202,364.23
36424-H208,Vogt-Koyanagi syndrome,H208,364.24
3643-H209,Unspecified iridocyclitis,H209,364.3
36441-H210,Hyphema,H210,364.41
36442-H211,Rubeosis iridis,H211,364.42
36451-H212,Essential or progressive iris atrophy,H212,364.51
36452-H212,Iridoschisis,H212,364.52
36453-H212,Pigmentary iris degeneration,H212,364.53
36454-H212,Degeneration of pupillary margin,H212,364.54
36455-H212,Miotic cysts of pupillary margin,H212,364.55
36456-H212,Degenerative changes of chamber angle,H212,364.56
36457-H212,Degenerative changes of ciliary body,H212,364.57
36459-H212,Other iris atrophy,H212,364.59
36461-H213,Implantation cysts,H213,364.61
36462-H213,Exudative cysts of iris or anterior chamber,H213,364.62
36463-H213,Primary cyst of pars plana,H213,364.63
36464-H213,Exudative cyst of pars plana,H213,364.64
36471-H215,Posterior synechiae,H215,364.71
36472-H215,Anterior synechiae,H215,364.72
36473-H215,Goniosynechiae,H215,364.73
36474-H214,Pupillary membranes,H214,364.74
36475-H215,Pupillary abnormalities,H215,364.75
36476-H215,Iridodialysis,H215,364.76
36477-H215,Recession of chamber angle,H215,364.77
3648-H218,Other disorders of iris and ciliary body,H218,364.8
3649-H219,Unspecified disorder of iris and ciliary body,H219,364.9
36501-H400,Open angle with borderline findings,H400,365.01
36502-H400,Anatomical narrow angle,H400,365.02
36503-H400,Steroid responders,H400,365.03
36504-H400,Ocular hypertension,H400,365.04
36511-H401,Primary open angle glaucoma,H401,365.11
36512-H401,Low tension glaucoma,H401,365.12
36513-H401,Pigmentary glaucoma,H401,365.13
36514-Q150,Glaucoma of childhood,Q150,365.14
36515-H401,Residual stage of open angle glaucoma,H401,365.15
36521-H402,Intermittent angle-closure glaucoma,H402,365.21
36522-H402,Acute angle-closure glaucoma,H402,365.22
36523-H402,Chronic angle-closure glaucoma,H402,365.23
36524-H402,Residual stage of angle-closure glaucoma,H402,365.24
36531-H406,Glaucomatous stage,H406,365.31
36532-H406,Residual stage,H406,365.32
36541-H405,Glaucoma associated with chamber angle anomalies,H405,365.41
36542-H405,Glaucoma associated with anomalies of iris,H405,365.42
36543-H405,Glaucoma associated with other anterior segment anomalies,H405,365.43
36551-H405,Phacolytic glaucoma,H405,365.51
36552-H401,Pseudoexfoliation glaucoma,H401,365.52
36559-H405,Glaucoma associated with other lens disorders,H405,365.59
36561-H405,Glaucoma associated with pupillary block,H405,365.61
36562-H404,Glaucoma associated with ocular inflammations,H404,365.62
36563-H405,Glaucoma associated with vascular disorders,H405,365.63
36564-H405,Glaucoma associated with tumors or cysts,H405,365.64
36565-H403,Glaucoma associated with ocular trauma,H403,365.65
36581-H408,Hypersecretion glaucoma,H408,365.81
36582-H408,Glaucoma with increased episcleral venous pressure,H408,365.82
36589-H408,Other specified glaucoma,H408,365.89
3659-H409,Unspecified glaucoma,H409,365.9
36601-H260,Anterior subcapsular polar cataract,H260,366.01
36602-H260,Posterior subcapsular polar cataract,H260,366.02
36603-H260,"Cortical, lamellar, or zonular cataract",H260,366.03
36604-H260,Nuclear cataract,H260,366.04
36609-H260,Other and combined forms of nonsenile cataract,H260,366.09
36611-H268,Pseudoexfoliation of lens capsule,H268,366.11
36612-H250,Incipient cataract,H250,366.12
36613-H250,Anterior subcapsular polar senile cataract,H250,366.13
36614-H250,Posterior subcapsular polar senile cataract,H250,366.14
36615-H250,Cortical senile cataract,H250,366.15
36616-H251,Nuclear sclerosis,H251,366.16
36617-H258,Total or mature cataract,H258,366.17
36618-H252,Hypermature cataract,H252,366.18
36619-H258,Other and combined forms of senile cataract,H258,366.19
36621-H261,Localized traumatic opacities,H261,366.21
36622-H261,Total traumatic cataract,H261,366.22
37815-H501,Alternating exotropia,H501,378.15
36623-H261,Partially resolved traumatic cataract,H261,366.23
36631-H262,Glaucomatous flecks (subcapsular),H262,366.31
36632-H262,Cataract in inflammatory disorders,H262,366.32
36633-H262,Cataract with neovascularization,H262,366.33
36634-H262,Cataract in degenerative disorders,H262,366.34
36645-H263,Toxic cataract,H263,366.45
36646-H268,Cataract associated with radiation and other physical influences,H268,366.46
36651-H264,Soemmering's ring,H264,366.51
36652-H264,"Other after-cataract, not obscuring vision",H264,366.52
36653-H264,"After-cataract, obscuring vision",H264,366.53
3668-H268,Other cataract,H268,366.8
3669-H269,Unspecified cataract,H269,366.9
3671-H521,Myopia,H521,367.1
36721-H522,Regular astigmatism,H522,367.21
36722-H522,Irregular astigmatism,H522,367.22
36731-H523,Anisometropia,H523,367.31
36732-H523,Aniseikonia,H523,367.32
3674-H524,Presbyopia,H524,367.4
36751-H525,Paresis of accommodation,H525,367.51
36752-H525,Total or complete internal ophthalmoplegia,H525,367.52
36753-H525,Spasm of accommodation,H525,367.53
36781-H526,Transient refractive change,H526,367.81
36789-H526,Other,H526,367.89
3679-H527,Unspecified disorder of refraction and accommodation,H527,367.9
36801-H530,Strabismic amblyopia,H530,368.01
36802-H530,Deprivation amblyopia,H530,368.02
36803-H530,Refractive amblyopia,H530,368.03
36811-H531,Sudden visual loss,H531,368.11
36812-H531,Transient visual loss,H531,368.12
36813-H531,Visual discomfort,H531,368.13
36814-H531,Visual distortions of shape and size,H531,368.14
36815-H538,Other visual distortions and entoptic phenomena,H538,368.15
36816-H531,Psychophysical visual disturbances,H531,368.16
3682-H532,Diplopia,H532,368.2
36831-H533,Suppression of binocular vision,H533,368.31
36832-H533,Simultaneous visual perception without fusion,H533,368.32
36833-H533,Fusion with defective stereopsis,H533,368.33
36834-H533,Abnormal retinal correspondence,H533,368.34
36841-H534,Scotoma involving central area,H534,368.41
36842-H534,Scotoma of blind spot area,H534,368.42
36843-H534,Sector or arcuate defects,H534,368.43
36844-H534,Other localized visual field defect,H534,368.44
36845-H534,Generalized contraction or constriction,H534,368.45
36846-H534,Homonymous bilateral field defects,H534,368.46
36847-H534,Heteronymous bilateral field defects,H534,368.47
36851-H535,Protan defect,H535,368.51
36852-H535,Deutan defect,H535,368.52
36853-H535,Tritan defect,H535,368.53
36854-H535,Achromatopsia,H535,368.54
36855-H535,Acquired color vision deficiencies,H535,368.55
36859-H535,Other color vision deficiencies,H535,368.59
36861-H536,Congenital night blindness,H536,368.61
36862-H536,Acquired night blindness,H536,368.62
36863-H536,Abnormal dark adaptation curve,H536,368.63
36869-H536,Other night blindness,H536,368.69
3688-H538,Other specified visual disturbances,H538,368.8
3689-H539,Unspecified visual disturbance,H539,368.9
36901-H540,Better eye: total impairment; lesser eye: total impairment,H540,369.01
37032-H162,Limbar and corneal involvement in vernal conjunctivitis,H162,370.32
36902-H540,Better eye: near-total impairment; lesser eye: not further specified,H540,369.02
36903-H540,Better eye: near-total impairment; lesser eye: total impairment,H540,369.03
36904-H540,Better eye: near-total impairment; lesser eye: near-total impairment,H540,369.04
36905-H540,Better eye: profound impairment; lesser eye: not further specified,H540,369.05
36906-H540,Better eye: profound impairment; lesser eye: total impairment,H540,369.06
36907-H540,Better eye: profound impairment; lesser eye: near-total impairment,H540,369.07
36908-H540,Better eye: profound impairment; lesser eye: profound impairment,H540,369.08
36911-H541,"Better eye: severe impairment; lesser eye: blind, not further specified",H541,369.11
36912-H541,Better eye: severe impairment; lesser eye: total impairment,H541,369.12
36913-H541,Better eye: severe impairment; lesser eye: near-total impairment,H541,369.13
36914-H541,Better eye: severe impairment; lesser eye: profound impairment,H541,369.14
36915-H541,"Better eye: moderate impairment; lesser eye: blind, not further specified",H541,369.15
36916-H541,Better eye: moderate impairment; lesser eye: total impairment,H541,369.16
36917-H541,Better eye: moderate impairment; lesser eye: near-total impairment,H541,369.17
36918-H541,Better eye: moderate impairment; lesser eye: profound impairment,H541,369.18
36921-H542,Better eye: severe impairment; lesser eye: not further specified,H542,369.21
36922-H542,Better eye: severe impairment; lesser eye: severe impairment,H542,369.22
36923-H542,Better eye: moderate impairment; lesser eye: not further specified,H542,369.23
36924-H542,Better eye: moderate impairment; lesser eye: severe impairment,H542,369.24
36925-H542,Better eye: moderate impairment; lesser eye: moderate impairment,H542,369.25
3693-H543,"Unqualified visual loss, both eyes",H543,369.3
3694-H540,"Legal blindness, as defined in U.S.A.",H540,369.4
36961-H544,One eye: total impairment; other eye: not specified,H544,369.61
36962-H544,One eye: total impairment; other eye: near-normal vision,H544,369.62
36963-H544,One eye: total impairment; other eye: normal vision,H544,369.63
36964-H544,One eye: near-total impairment; other eye: not specified,H544,369.64
36965-H544,One eye: near-total impairment; other eye: near-normal vision,H544,369.65
36966-H544,One eye: near-total impairment; other eye: normal vision,H544,369.66
36967-H544,One eye: profound impairment; other eye: not specified,H544,369.67
36968-H544,One eye: profound impairment; other eye: near-normal vision,H544,369.68
36969-H544,One eye: profound impairment; other eye: normal vision,H544,369.69
36971-H545,One eye: severe impairment; other eye: not specified,H545,369.71
36972-H545,One eye: severe impairment; other eye: near-normal vision,H545,369.72
36973-H545,One eye: severe impairment; other eye: normal vision,H545,369.73
36974-H545,One eye: moderate impairment; other eye: not specified,H545,369.74
36975-H545,One eye: moderate impairment; other eye: near-normal vision,H545,369.75
36976-H545,One eye: moderate impairment; other eye: normal vision,H545,369.76
3698-H546,"Unqualified visual loss, one eye",H546,369.8
3699-H547,Unspecified visual loss,H547,369.9
37001-H160,Marginal corneal ulcer,H160,370.01
37002-H160,Ring corneal ulcer,H160,370.02
37003-H160,Central corneal ulcer,H160,370.03
37004-H160,Hypopyon ulcer,H160,370.04
37005-H160,Mycotic corneal ulcer,H160,370.05
37006-H160,Perforated corneal ulcer,H160,370.06
37007-H160,Mooren's ulcer,H160,370.07
37021-H161,Punctate keratitis,H161,370.21
37022-H161,Macular keratitis,H161,370.22
37023-H161,Filamentary keratitis,H161,370.23
37024-H161,Photokeratitis,H161,370.24
37031-H162,Phlyctenular keratoconjunctivitis,H162,370.31
