id,order_number,short_description,long_description,formatted_icd10_code,FDN_parenticd10
M89165,,"Complete physeal arrest, left distal tibia","Complete physeal arrest, left distal tibia",M89.165,M8916
M89166,,"Partial physeal arrest, right distal tibia","Partial physeal arrest, right distal tibia",M89.166,M8916
M89167,,"Partial physeal arrest, left distal tibia","Partial physeal arrest, left distal tibia",M89.167,M8916
M89168,,Other physeal arrest of lower leg,Other physeal arrest of lower leg,M89.168,M8916
M89169,,"Physeal arrest, lower leg, unspecified","Physeal arrest, lower leg, unspecified",M89.169,M8916
M8918,,"Physeal arrest, other site","Physeal arrest, other site",M89.18,M891
M892,,Other disorders of bone development and growth,Other disorders of bone development and growth,M89.2,M89
M8920,,"Other disorders of bone development and growth, unsp site","Other disorders of bone development and growth, unspecified site",M89.20,M892
M8921,,"Other disorders of bone development and growth, shoulder","Other disorders of bone development and growth, shoulder",M89.21,M892
M89211,,"Oth disorders of bone development and growth, right shoulder","Other disorders of bone development and growth, right shoulder",M89.211,M8921
M89331,,"Hypertrophy of bone, right ulna","Hypertrophy of bone, right ulna",M89.331,M8933
M89212,,"Oth disorders of bone development and growth, left shoulder","Other disorders of bone development and growth, left shoulder",M89.212,M8921
M89219,,"Oth disorders of bone development and growth, unsp shoulder","Other disorders of bone development and growth, unspecified shoulder",M89.219,M8921
M8922,,"Other disorders of bone development and growth, humerus","Other disorders of bone development and growth, humerus",M89.22,M892
M89221,,"Oth disorders of bone development and growth, right humerus","Other disorders of bone development and growth, right humerus",M89.221,M8922
M89341,,"Hypertrophy of bone, right hand","Hypertrophy of bone, right hand",M89.341,M8934
M89222,,"Other disorders of bone development and growth, left humerus","Other disorders of bone development and growth, left humerus",M89.222,M8922
M89229,,"Other disorders of bone development and growth, unsp humerus","Other disorders of bone development and growth, unspecified humerus",M89.229,M8922
M8923,,"Oth disorders of bone dev and growth, ulna and radius","Other disorders of bone development and growth, ulna and radius",M89.23,M892
M89231,,"Other disorders of bone development and growth, right ulna","Other disorders of bone development and growth, right ulna",M89.231,M8923
M89232,,"Other disorders of bone development and growth, left ulna","Other disorders of bone development and growth, left ulna",M89.232,M8923
M89233,,"Other disorders of bone development and growth, right radius","Other disorders of bone development and growth, right radius",M89.233,M8923
M89234,,"Other disorders of bone development and growth, left radius","Other disorders of bone development and growth, left radius",M89.234,M8923
M89239,,"Oth disorders of bone dev and growth, unsp ulna and radius","Other disorders of bone development and growth, unspecified ulna and radius",M89.239,M8923
M8924,,"Other disorders of bone development and growth, hand","Other disorders of bone development and growth, hand",M89.24,M892
M89241,,"Other disorders of bone development and growth, right hand","Other disorders of bone development and growth, right hand",M89.241,M8924
M89242,,"Other disorders of bone development and growth, left hand","Other disorders of bone development and growth, left hand",M89.242,M8924
M89249,,"Other disorders of bone development and growth, unsp hand","Other disorders of bone development and growth, unspecified hand",M89.249,M8924
M8925,,"Other disorders of bone development and growth, femur","Other disorders of bone development and growth, femur",M89.25,M892
M89251,,"Other disorders of bone development and growth, right femur","Other disorders of bone development and growth, right femur",M89.251,M8925
M89252,,"Other disorders of bone development and growth, left femur","Other disorders of bone development and growth, left femur",M89.252,M8925
M89259,,"Other disorders of bone development and growth, unsp femur","Other disorders of bone development and growth, unspecified femur",M89.259,M8925
M8926,,"Oth disorders of bone dev and growth, tibia and fibula","Other disorders of bone development and growth, tibia and fibula",M89.26,M892
M89261,,"Other disorders of bone development and growth, right tibia","Other disorders of bone development and growth, right tibia",M89.261,M8926
M89262,,"Other disorders of bone development and growth, left tibia","Other disorders of bone development and growth, left tibia",M89.262,M8926
M94221,,"Chondromalacia, right elbow","Chondromalacia, right elbow",M94.221,M9422
M89651,,"Osteopathy after poliomyelitis, right thigh","Osteopathy after poliomyelitis, right thigh",M89.651,M8965
M89263,,"Other disorders of bone development and growth, right fibula","Other disorders of bone development and growth, right fibula",M89.263,M8926
M89264,,"Other disorders of bone development and growth, left fibula","Other disorders of bone development and growth, left fibula",M89.264,M8926
M89269,,"Oth disorders of bone development and growth, unsp lower leg","Other disorders of bone development and growth, unspecified lower leg",M89.269,M8926
M8927,,"Oth disorders of bone development and growth, ankle and foot","Other disorders of bone development and growth, ankle and foot",M89.27,M892
M89271,,"Oth disorders of bone development and growth, right ank/ft","Other disorders of bone development and growth, right ankle and foot",M89.271,M8927
M89272,,"Oth disorders of bone development and growth, left ank/ft","Other disorders of bone development and growth, left ankle and foot",M89.272,M8927
M89279,,"Oth disorders of bone development and growth, unsp ank/ft","Other disorders of bone development and growth, unspecified ankle and foot",M89.279,M8927
M8928,,"Other disorders of bone development and growth, other site","Other disorders of bone development and growth, other site",M89.28,M892
M8929,,"Oth disorders of bone development and growth, multiple sites","Other disorders of bone development and growth, multiple sites",M89.29,M892
M893,,Hypertrophy of bone,Hypertrophy of bone,M89.3,M89
M8930,,"Hypertrophy of bone, unspecified site","Hypertrophy of bone, unspecified site",M89.30,M893
M8931,,"Hypertrophy of bone, shoulder","Hypertrophy of bone, shoulder",M89.31,M893
M89311,,"Hypertrophy of bone, right shoulder","Hypertrophy of bone, right shoulder",M89.311,M8931
M89312,,"Hypertrophy of bone, left shoulder","Hypertrophy of bone, left shoulder",M89.312,M8931
M89319,,"Hypertrophy of bone, unspecified shoulder","Hypertrophy of bone, unspecified shoulder",M89.319,M8931
M8932,,"Hypertrophy of bone, humerus","Hypertrophy of bone, humerus",M89.32,M893
M89321,,"Hypertrophy of bone, right humerus","Hypertrophy of bone, right humerus",M89.321,M8932
M89322,,"Hypertrophy of bone, left humerus","Hypertrophy of bone, left humerus",M89.322,M8932
M89329,,"Hypertrophy of bone, unspecified humerus","Hypertrophy of bone, unspecified humerus",M89.329,M8932
M8933,,"Hypertrophy of bone, ulna and radius","Hypertrophy of bone, ulna and radius",M89.33,M893
M89332,,"Hypertrophy of bone, left ulna","Hypertrophy of bone, left ulna",M89.332,M8933
M89333,,"Hypertrophy of bone, right radius","Hypertrophy of bone, right radius",M89.333,M8933
M89334,,"Hypertrophy of bone, left radius","Hypertrophy of bone, left radius",M89.334,M8933
M89339,,"Hypertrophy of bone, unspecified ulna and radius","Hypertrophy of bone, unspecified ulna and radius",M89.339,M8933
M89342,,"Hypertrophy of bone, left hand","Hypertrophy of bone, left hand",M89.342,M8934
M89349,,"Hypertrophy of bone, unspecified hand","Hypertrophy of bone, unspecified hand",M89.349,M8934
M8935,,"Hypertrophy of bone, femur","Hypertrophy of bone, femur",M89.35,M893
M89351,,"Hypertrophy of bone, right femur","Hypertrophy of bone, right femur",M89.351,M8935
M89352,,"Hypertrophy of bone, left femur","Hypertrophy of bone, left femur",M89.352,M8935
M89359,,"Hypertrophy of bone, unspecified femur","Hypertrophy of bone, unspecified femur",M89.359,M8935
M8936,,"Hypertrophy of bone, tibia and fibula","Hypertrophy of bone, tibia and fibula",M89.36,M893
M89361,,"Hypertrophy of bone, right tibia","Hypertrophy of bone, right tibia",M89.361,M8936
M89362,,"Hypertrophy of bone, left tibia","Hypertrophy of bone, left tibia",M89.362,M8936
M89363,,"Hypertrophy of bone, right fibula","Hypertrophy of bone, right fibula",M89.363,M8936
M89364,,"Hypertrophy of bone, left fibula","Hypertrophy of bone, left fibula",M89.364,M8936
M89369,,"Hypertrophy of bone, unspecified tibia and fibula","Hypertrophy of bone, unspecified tibia and fibula",M89.369,M8936
M8937,,"Hypertrophy of bone, ankle and foot","Hypertrophy of bone, ankle and foot",M89.37,M893
M89371,,"Hypertrophy of bone, right ankle and foot","Hypertrophy of bone, right ankle and foot",M89.371,M8937
M89372,,"Hypertrophy of bone, left ankle and foot","Hypertrophy of bone, left ankle and foot",M89.372,M8937
M89379,,"Hypertrophy of bone, unspecified ankle and foot","Hypertrophy of bone, unspecified ankle and foot",M89.379,M8937
M8938,,"Hypertrophy of bone, other site","Hypertrophy of bone, other site",M89.38,M893
M8939,,"Hypertrophy of bone, multiple sites","Hypertrophy of bone, multiple sites",M89.39,M893
M894,,Other hypertrophic osteoarthropathy,Other hypertrophic osteoarthropathy,M89.4,M89
M8940,,"Other hypertrophic osteoarthropathy, unspecified site","Other hypertrophic osteoarthropathy, unspecified site",M89.40,M894
M8941,,"Other hypertrophic osteoarthropathy, shoulder","Other hypertrophic osteoarthropathy, shoulder",M89.41,M894
M89411,,"Other hypertrophic osteoarthropathy, right shoulder","Other hypertrophic osteoarthropathy, right shoulder",M89.411,M8941
M89412,,"Other hypertrophic osteoarthropathy, left shoulder","Other hypertrophic osteoarthropathy, left shoulder",M89.412,M8941
M94222,,"Chondromalacia, left elbow","Chondromalacia, left elbow",M94.222,M9422
M89419,,"Other hypertrophic osteoarthropathy, unspecified shoulder","Other hypertrophic osteoarthropathy, unspecified shoulder",M89.419,M8941
M8942,,"Other hypertrophic osteoarthropathy, upper arm","Other hypertrophic osteoarthropathy, upper arm",M89.42,M894
M89421,,"Other hypertrophic osteoarthropathy, right upper arm","Other hypertrophic osteoarthropathy, right upper arm",M89.421,M8942
M89422,,"Other hypertrophic osteoarthropathy, left upper arm","Other hypertrophic osteoarthropathy, left upper arm",M89.422,M8942
W2104XA,,"Struck by golf ball, initial encounter","Struck by golf ball, initial encounter",W21.04XA,W2104
M89429,,"Other hypertrophic osteoarthropathy, unspecified upper arm","Other hypertrophic osteoarthropathy, unspecified upper arm",M89.429,M8942
M8943,,"Other hypertrophic osteoarthropathy, forearm","Other hypertrophic osteoarthropathy, forearm",M89.43,M894
M89431,,"Other hypertrophic osteoarthropathy, right forearm","Other hypertrophic osteoarthropathy, right forearm",M89.431,M8943
M89432,,"Other hypertrophic osteoarthropathy, left forearm","Other hypertrophic osteoarthropathy, left forearm",M89.432,M8943
M89439,,"Other hypertrophic osteoarthropathy, unspecified forearm","Other hypertrophic osteoarthropathy, unspecified forearm",M89.439,M8943
M8944,,"Other hypertrophic osteoarthropathy, hand","Other hypertrophic osteoarthropathy, hand",M89.44,M894
M89441,,"Other hypertrophic osteoarthropathy, right hand","Other hypertrophic osteoarthropathy, right hand",M89.441,M8944
M89442,,"Other hypertrophic osteoarthropathy, left hand","Other hypertrophic osteoarthropathy, left hand",M89.442,M8944
M89449,,"Other hypertrophic osteoarthropathy, unspecified hand","Other hypertrophic osteoarthropathy, unspecified hand",M89.449,M8944
M8945,,"Other hypertrophic osteoarthropathy, thigh","Other hypertrophic osteoarthropathy, thigh",M89.45,M894
M89451,,"Other hypertrophic osteoarthropathy, right thigh","Other hypertrophic osteoarthropathy, right thigh",M89.451,M8945
M89452,,"Other hypertrophic osteoarthropathy, left thigh","Other hypertrophic osteoarthropathy, left thigh",M89.452,M8945
M89459,,"Other hypertrophic osteoarthropathy, unspecified thigh","Other hypertrophic osteoarthropathy, unspecified thigh",M89.459,M8945
M8946,,"Other hypertrophic osteoarthropathy, lower leg","Other hypertrophic osteoarthropathy, lower leg",M89.46,M894
M89461,,"Other hypertrophic osteoarthropathy, right lower leg","Other hypertrophic osteoarthropathy, right lower leg",M89.461,M8946
M89462,,"Other hypertrophic osteoarthropathy, left lower leg","Other hypertrophic osteoarthropathy, left lower leg",M89.462,M8946
M89469,,"Other hypertrophic osteoarthropathy, unspecified lower leg","Other hypertrophic osteoarthropathy, unspecified lower leg",M89.469,M8946
M8947,,"Other hypertrophic osteoarthropathy, ankle and foot","Other hypertrophic osteoarthropathy, ankle and foot",M89.47,M894
M89471,,"Other hypertrophic osteoarthropathy, right ankle and foot","Other hypertrophic osteoarthropathy, right ankle and foot",M89.471,M8947
M89472,,"Other hypertrophic osteoarthropathy, left ankle and foot","Other hypertrophic osteoarthropathy, left ankle and foot",M89.472,M8947
N05,,Unspecified nephritic syndrome,Unspecified nephritic syndrome,N05,
M89479,,"Other hypertrophic osteoarthropathy, unsp ankle and foot","Other hypertrophic osteoarthropathy, unspecified ankle and foot",M89.479,M8947
M8948,,"Other hypertrophic osteoarthropathy, other site","Other hypertrophic osteoarthropathy, other site",M89.48,M894
M8949,,"Other hypertrophic osteoarthropathy, multiple sites","Other hypertrophic osteoarthropathy, multiple sites",M89.49,M894
M895,,Osteolysis,Osteolysis,M89.5,M89
M8950,,"Osteolysis, unspecified site","Osteolysis, unspecified site",M89.50,M895
M8951,,"Osteolysis, shoulder","Osteolysis, shoulder",M89.51,M895
N432,,Other hydrocele,Other hydrocele,N43.2,N43
M89511,,"Osteolysis, right shoulder","Osteolysis, right shoulder",M89.511,M8951
M89519,,"Osteolysis, unspecified shoulder","Osteolysis, unspecified shoulder",M89.519,M8951
M8952,,"Osteolysis, upper arm","Osteolysis, upper arm",M89.52,M895
M89521,,"Osteolysis, right upper arm","Osteolysis, right upper arm",M89.521,M8952
M89522,,"Osteolysis, left upper arm","Osteolysis, left upper arm",M89.522,M8952
M89529,,"Osteolysis, unspecified upper arm","Osteolysis, unspecified upper arm",M89.529,M8952
M8953,,"Osteolysis, forearm","Osteolysis, forearm",M89.53,M895
M89531,,"Osteolysis, right forearm","Osteolysis, right forearm",M89.531,M8953
M89539,,"Osteolysis, unspecified forearm","Osteolysis, unspecified forearm",M89.539,M8953
M8954,,"Osteolysis, hand","Osteolysis, hand",M89.54,M895
M89541,,"Osteolysis, right hand","Osteolysis, right hand",M89.541,M8954
M89542,,"Osteolysis, left hand","Osteolysis, left hand",M89.542,M8954
M89549,,"Osteolysis, unspecified hand","Osteolysis, unspecified hand",M89.549,M8954
M8955,,"Osteolysis, thigh","Osteolysis, thigh",M89.55,M895
M89551,,"Osteolysis, right thigh","Osteolysis, right thigh",M89.551,M8955
M89552,,"Osteolysis, left thigh","Osteolysis, left thigh",M89.552,M8955
M89559,,"Osteolysis, unspecified thigh","Osteolysis, unspecified thigh",M89.559,M8955
M8956,,"Osteolysis, lower leg","Osteolysis, lower leg",M89.56,M895
M89561,,"Osteolysis, right lower leg","Osteolysis, right lower leg",M89.561,M8956
M89562,,"Osteolysis, left lower leg","Osteolysis, left lower leg",M89.562,M8956
M89569,,"Osteolysis, unspecified lower leg","Osteolysis, unspecified lower leg",M89.569,M8956
M8957,,"Osteolysis, ankle and foot","Osteolysis, ankle and foot",M89.57,M895
M89571,,"Osteolysis, right ankle and foot","Osteolysis, right ankle and foot",M89.571,M8957
M89572,,"Osteolysis, left ankle and foot","Osteolysis, left ankle and foot",M89.572,M8957
M89579,,"Osteolysis, unspecified ankle and foot","Osteolysis, unspecified ankle and foot",M89.579,M8957
M8958,,"Osteolysis, other site","Osteolysis, other site",M89.58,M895
M8959,,"Osteolysis, multiple sites","Osteolysis, multiple sites",M89.59,M895
M896,,Osteopathy after poliomyelitis,Osteopathy after poliomyelitis,M89.6,M89
M8960,,"Osteopathy after poliomyelitis, unspecified site","Osteopathy after poliomyelitis, unspecified site",M89.60,M896
M8961,,"Osteopathy after poliomyelitis, shoulder","Osteopathy after poliomyelitis, shoulder",M89.61,M896
M89611,,"Osteopathy after poliomyelitis, right shoulder","Osteopathy after poliomyelitis, right shoulder",M89.611,M8961
M89612,,"Osteopathy after poliomyelitis, left shoulder","Osteopathy after poliomyelitis, left shoulder",M89.612,M8961
M89619,,"Osteopathy after poliomyelitis, unspecified shoulder","Osteopathy after poliomyelitis, unspecified shoulder",M89.619,M8961
M8962,,"Osteopathy after poliomyelitis, upper arm","Osteopathy after poliomyelitis, upper arm",M89.62,M896
M89621,,"Osteopathy after poliomyelitis, right upper arm","Osteopathy after poliomyelitis, right upper arm",M89.621,M8962
M89622,,"Osteopathy after poliomyelitis, left upper arm","Osteopathy after poliomyelitis, left upper arm",M89.622,M8962
M89629,,"Osteopathy after poliomyelitis, unspecified upper arm","Osteopathy after poliomyelitis, unspecified upper arm",M89.629,M8962
M8963,,"Osteopathy after poliomyelitis, forearm","Osteopathy after poliomyelitis, forearm",M89.63,M896
M89631,,"Osteopathy after poliomyelitis, right forearm","Osteopathy after poliomyelitis, right forearm",M89.631,M8963
M89632,,"Osteopathy after poliomyelitis, left forearm","Osteopathy after poliomyelitis, left forearm",M89.632,M8963
M89639,,"Osteopathy after poliomyelitis, unspecified forearm","Osteopathy after poliomyelitis, unspecified forearm",M89.639,M8963
M8964,,"Osteopathy after poliomyelitis, hand","Osteopathy after poliomyelitis, hand",M89.64,M896
M89641,,"Osteopathy after poliomyelitis, right hand","Osteopathy after poliomyelitis, right hand",M89.641,M8964
M89642,,"Osteopathy after poliomyelitis, left hand","Osteopathy after poliomyelitis, left hand",M89.642,M8964
M89649,,"Osteopathy after poliomyelitis, unspecified hand","Osteopathy after poliomyelitis, unspecified hand",M89.649,M8964
M8965,,"Osteopathy after poliomyelitis, thigh","Osteopathy after poliomyelitis, thigh",M89.65,M896
M89652,,"Osteopathy after poliomyelitis, left thigh","Osteopathy after poliomyelitis, left thigh",M89.652,M8965
M89659,,"Osteopathy after poliomyelitis, unspecified thigh","Osteopathy after poliomyelitis, unspecified thigh",M89.659,M8965
M8966,,"Osteopathy after poliomyelitis, lower leg","Osteopathy after poliomyelitis, lower leg",M89.66,M896
M89661,,"Osteopathy after poliomyelitis, right lower leg","Osteopathy after poliomyelitis, right lower leg",M89.661,M8966
M89662,,"Osteopathy after poliomyelitis, left lower leg","Osteopathy after poliomyelitis, left lower leg",M89.662,M8966
M89669,,"Osteopathy after poliomyelitis, unspecified lower leg","Osteopathy after poliomyelitis, unspecified lower leg",M89.669,M8966
M8967,,"Osteopathy after poliomyelitis, ankle and foot","Osteopathy after poliomyelitis, ankle and foot",M89.67,M896
M89671,,"Osteopathy after poliomyelitis, right ankle and foot","Osteopathy after poliomyelitis, right ankle and foot",M89.671,M8967
M89672,,"Osteopathy after poliomyelitis, left ankle and foot","Osteopathy after poliomyelitis, left ankle and foot",M89.672,M8967
M89679,,"Osteopathy after poliomyelitis, unspecified ankle and foot","Osteopathy after poliomyelitis, unspecified ankle and foot",M89.679,M8967
M8968,,"Osteopathy after poliomyelitis, other site","Osteopathy after poliomyelitis, other site",M89.68,M896
M8969,,"Osteopathy after poliomyelitis, multiple sites","Osteopathy after poliomyelitis, multiple sites",M89.69,M896
M897,,Major osseous defect,Major osseous defect,M89.7,M89
M8970,,"Major osseous defect, unspecified site","Major osseous defect, unspecified site",M89.70,M897
M8971,,"Major osseous defect, shoulder region","Major osseous defect, shoulder region",M89.71,M897
M89711,,"Major osseous defect, right shoulder region","Major osseous defect, right shoulder region",M89.711,M8971
N433,,"Hydrocele, unspecified","Hydrocele, unspecified",N43.3,N43
M89712,,"Major osseous defect, left shoulder region","Major osseous defect, left shoulder region",M89.712,M8971
M89719,,"Major osseous defect, unspecified shoulder region","Major osseous defect, unspecified shoulder region",M89.719,M8971
M8972,,"Major osseous defect, humerus","Major osseous defect, humerus",M89.72,M897
M89721,,"Major osseous defect, right humerus","Major osseous defect, right humerus",M89.721,M8972
M89722,,"Major osseous defect, left humerus","Major osseous defect, left humerus",M89.722,M8972
M89729,,"Major osseous defect, unspecified humerus","Major osseous defect, unspecified humerus",M89.729,M8972
M8973,,"Major osseous defect, forearm","Major osseous defect, forearm",M89.73,M897
M89731,,"Major osseous defect, right forearm","Major osseous defect, right forearm",M89.731,M8973
M89732,,"Major osseous defect, left forearm","Major osseous defect, left forearm",M89.732,M8973
M89739,,"Major osseous defect, unspecified forearm","Major osseous defect, unspecified forearm",M89.739,M8973
M8974,,"Major osseous defect, hand","Major osseous defect, hand",M89.74,M897
M89741,,"Major osseous defect, right hand","Major osseous defect, right hand",M89.741,M8974
M89742,,"Major osseous defect, left hand","Major osseous defect, left hand",M89.742,M8974
M89749,,"Major osseous defect, unspecified hand","Major osseous defect, unspecified hand",M89.749,M8974
M8975,,"Major osseous defect, pelvic region and thigh","Major osseous defect, pelvic region and thigh",M89.75,M897
M89751,,"Major osseous defect, right pelvic region and thigh","Major osseous defect, right pelvic region and thigh",M89.751,M8975
M89752,,"Major osseous defect, left pelvic region and thigh","Major osseous defect, left pelvic region and thigh",M89.752,M8975
M89759,,"Major osseous defect, unspecified pelvic region and thigh","Major osseous defect, unspecified pelvic region and thigh",M89.759,M8975
M8976,,"Major osseous defect, lower leg","Major osseous defect, lower leg",M89.76,M897
M89761,,"Major osseous defect, right lower leg","Major osseous defect, right lower leg",M89.761,M8976
M89762,,"Major osseous defect, left lower leg","Major osseous defect, left lower leg",M89.762,M8976
M89769,,"Major osseous defect, unspecified lower leg","Major osseous defect, unspecified lower leg",M89.769,M8976
M8977,,"Major osseous defect, ankle and foot","Major osseous defect, ankle and foot",M89.77,M897
M89771,,"Major osseous defect, right ankle and foot","Major osseous defect, right ankle and foot",M89.771,M8977
M89772,,"Major osseous defect, left ankle and foot","Major osseous defect, left ankle and foot",M89.772,M8977
M89779,,"Major osseous defect, unspecified ankle and foot","Major osseous defect, unspecified ankle and foot",M89.779,M8977
O30,,Multiple gestation,Multiple gestation,O30,
M8978,,"Major osseous defect, other site","Major osseous defect, other site",M89.78,M897
M8979,,"Major osseous defect, multiple sites","Major osseous defect, multiple sites",M89.79,M897
M898,,Other specified disorders of bone,Other specified disorders of bone,M89.8,M89
M898X,,Other specified disorders of bone,Other specified disorders of bone,M89.8X,M898
M898X0,,"Other specified disorders of bone, multiple sites","Other specified disorders of bone, multiple sites",M89.8X0,M898X
M898X1,,"Other specified disorders of bone, shoulder","Other specified disorders of bone, shoulder",M89.8X1,M898X
M898X2,,"Other specified disorders of bone, upper arm","Other specified disorders of bone, upper arm",M89.8X2,M898X
M898X3,,"Other specified disorders of bone, forearm","Other specified disorders of bone, forearm",M89.8X3,M898X
M898X4,,"Other specified disorders of bone, hand","Other specified disorders of bone, hand",M89.8X4,M898X
M898X5,,"Other specified disorders of bone, thigh","Other specified disorders of bone, thigh",M89.8X5,M898X
M898X6,,"Other specified disorders of bone, lower leg","Other specified disorders of bone, lower leg",M89.8X6,M898X
M898X7,,"Other specified disorders of bone, ankle and foot","Other specified disorders of bone, ankle and foot",M89.8X7,M898X
M898X8,,"Other specified disorders of bone, other site","Other specified disorders of bone, other site",M89.8X8,M898X
M898X9,,"Other specified disorders of bone, unspecified site","Other specified disorders of bone, unspecified site",M89.8X9,M898X
M899,,"Disorder of bone, unspecified","Disorder of bone, unspecified",M89.9,M89
M90,,Osteopathies in diseases classified elsewhere,Osteopathies in diseases classified elsewhere,M90,
M905,,Osteonecrosis in diseases classified elsewhere,Osteonecrosis in diseases classified elsewhere,M90.5,M90
M9050,,"Osteonecrosis in diseases classified elsewhere, unsp site","Osteonecrosis in diseases classified elsewhere, unspecified site",M90.50,M905
M9051,,"Osteonecrosis in diseases classified elsewhere, shoulder","Osteonecrosis in diseases classified elsewhere, shoulder",M90.51,M905
M90511,,"Osteonecrosis in diseases classd elswhr, right shoulder","Osteonecrosis in diseases classified elsewhere, right shoulder",M90.511,M9051
M90512,,"Osteonecrosis in diseases classd elswhr, left shoulder","Osteonecrosis in diseases classified elsewhere, left shoulder",M90.512,M9051
M90519,,"Osteonecrosis in diseases classd elswhr, unsp shoulder","Osteonecrosis in diseases classified elsewhere, unspecified shoulder",M90.519,M9051
M9052,,"Osteonecrosis in diseases classified elsewhere, upper arm","Osteonecrosis in diseases classified elsewhere, upper arm",M90.52,M905
M90521,,"Osteonecrosis in diseases classd elswhr, right upper arm","Osteonecrosis in diseases classified elsewhere, right upper arm",M90.521,M9052
M90522,,"Osteonecrosis in diseases classd elswhr, left upper arm","Osteonecrosis in diseases classified elsewhere, left upper arm",M90.522,M9052
M90529,,"Osteonecrosis in diseases classd elswhr, unsp upper arm","Osteonecrosis in diseases classified elsewhere, unspecified upper arm",M90.529,M9052
M9053,,"Osteonecrosis in diseases classified elsewhere, forearm","Osteonecrosis in diseases classified elsewhere, forearm",M90.53,M905
M90531,,"Osteonecrosis in diseases classd elswhr, right forearm","Osteonecrosis in diseases classified elsewhere, right forearm",M90.531,M9053
M90532,,"Osteonecrosis in diseases classified elsewhere, left forearm","Osteonecrosis in diseases classified elsewhere, left forearm",M90.532,M9053
M90539,,"Osteonecrosis in diseases classified elsewhere, unsp forearm","Osteonecrosis in diseases classified elsewhere, unspecified forearm",M90.539,M9053
M9054,,"Osteonecrosis in diseases classified elsewhere, hand","Osteonecrosis in diseases classified elsewhere, hand",M90.54,M905
M90541,,"Osteonecrosis in diseases classified elsewhere, right hand","Osteonecrosis in diseases classified elsewhere, right hand",M90.541,M9054
M90542,,"Osteonecrosis in diseases classified elsewhere, left hand","Osteonecrosis in diseases classified elsewhere, left hand",M90.542,M9054
M90549,,"Osteonecrosis in diseases classified elsewhere, unsp hand","Osteonecrosis in diseases classified elsewhere, unspecified hand",M90.549,M9054
M9055,,"Osteonecrosis in diseases classified elsewhere, thigh","Osteonecrosis in diseases classified elsewhere, thigh",M90.55,M905
M9326,,Osteochondritis dissecans knee,Osteochondritis dissecans knee,M93.26,M932
M90551,,"Osteonecrosis in diseases classified elsewhere, right thigh","Osteonecrosis in diseases classified elsewhere, right thigh",M90.551,M9055
M90552,,"Osteonecrosis in diseases classified elsewhere, left thigh","Osteonecrosis in diseases classified elsewhere, left thigh",M90.552,M9055
M90559,,"Osteonecrosis in diseases classified elsewhere, unsp thigh","Osteonecrosis in diseases classified elsewhere, unspecified thigh",M90.559,M9055
M9056,,"Osteonecrosis in diseases classified elsewhere, lower leg","Osteonecrosis in diseases classified elsewhere, lower leg",M90.56,M905
M90561,,"Osteonecrosis in diseases classd elswhr, right lower leg","Osteonecrosis in diseases classified elsewhere, right lower leg",M90.561,M9056
M90562,,"Osteonecrosis in diseases classd elswhr, left lower leg","Osteonecrosis in diseases classified elsewhere, left lower leg",M90.562,M9056
M90569,,"Osteonecrosis in diseases classd elswhr, unsp lower leg","Osteonecrosis in diseases classified elsewhere, unspecified lower leg",M90.569,M9056
M9057,,"Osteonecrosis in diseases classd elswhr, ankle and foot","Osteonecrosis in diseases classified elsewhere, ankle and foot",M90.57,M905
M90571,,"Osteonecrosis in diseases classd elswhr, right ank/ft","Osteonecrosis in diseases classified elsewhere, right ankle and foot",M90.571,M9057
M90572,,"Osteonecrosis in diseases classd elswhr, left ankle and foot","Osteonecrosis in diseases classified elsewhere, left ankle and foot",M90.572,M9057
M90579,,"Osteonecrosis in diseases classd elswhr, unsp ankle and foot","Osteonecrosis in diseases classified elsewhere, unspecified ankle and foot",M90.579,M9057
M9058,,"Osteonecrosis in diseases classified elsewhere, other site","Osteonecrosis in diseases classified elsewhere, other site",M90.58,M905
M9059,,"Osteonecrosis in diseases classd elswhr, multiple sites","Osteonecrosis in diseases classified elsewhere, multiple sites",M90.59,M905
M906,,Osteitis deformans in neoplastic diseases,Osteitis deformans in neoplastic diseases,M90.6,M90
M9060,,"Osteitis deformans in neoplastic diseases, unspecified site","Osteitis deformans in neoplastic diseases, unspecified site",M90.60,M906
M9061,,"Osteitis deformans in neoplastic diseases, shoulder","Osteitis deformans in neoplastic diseases, shoulder",M90.61,M906
M90611,,"Osteitis deformans in neoplastic diseases, right shoulder","Osteitis deformans in neoplastic diseases, right shoulder",M90.611,M9061
M90612,,"Osteitis deformans in neoplastic diseases, left shoulder","Osteitis deformans in neoplastic diseases, left shoulder",M90.612,M9061
M90619,,"Osteitis deformans in neoplastic diseases, unsp shoulder","Osteitis deformans in neoplastic diseases, unspecified shoulder",M90.619,M9061
M9062,,"Osteitis deformans in neoplastic diseases, upper arm","Osteitis deformans in neoplastic diseases, upper arm",M90.62,M906
M90621,,"Osteitis deformans in neoplastic diseases, right upper arm","Osteitis deformans in neoplastic diseases, right upper arm",M90.621,M9062
M90622,,"Osteitis deformans in neoplastic diseases, left upper arm","Osteitis deformans in neoplastic diseases, left upper arm",M90.622,M9062
M90629,,"Osteitis deformans in neoplastic diseases, unsp upper arm","Osteitis deformans in neoplastic diseases, unspecified upper arm",M90.629,M9062
M9063,,"Osteitis deformans in neoplastic diseases, forearm","Osteitis deformans in neoplastic diseases, forearm",M90.63,M906
